日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,90.850,91.500,89.010,89.650,118187704.0,1310700
2024-1-2,09:40,89.590,90.370,89.570,90.340,44048836.0,489400
2024-1-2,09:45,90.340,91.290,90.340,91.260,28831844.0,317900
2024-1-2,09:50,91.280,92.300,90.960,92.300,56836936.0,619600
2024-1-2,09:55,92.250,92.330,90.660,90.940,23381572.0,255900
2024-1-2,10:00,90.800,90.980,90.620,90.940,19024550.0,209700
2024-1-2,10:05,90.920,93.220,90.810,92.680,62854296.0,680200
2024-1-2,10:10,92.680,92.680,91.370,91.500,37430068.0,406500
2024-1-2,10:15,91.430,91.670,91.220,91.670,22165112.0,242600
2024-1-2,10:20,91.630,92.000,91.500,91.690,13236882.0,144300
2024-1-2,10:25,91.700,91.940,91.430,91.810,12765346.0,139300
2024-1-2,10:30,91.820,91.990,91.690,91.820,11782596.0,128300
2024-1-2,10:35,91.820,91.820,91.500,91.640,11418595.0,124600
2024-1-2,10:40,91.600,91.600,91.180,91.440,12052814.0,131900
2024-1-2,10:45,91.440,91.710,91.390,91.500,9284834.0,101400
2024-1-2,10:50,91.510,91.540,91.100,91.140,9824283.0,107500
2024-1-2,10:55,91.130,91.130,90.700,90.890,13122168.0,144400
2024-1-2,11:00,90.900,91.190,90.800,91.190,6727701.0,74000
2024-1-2,11:05,91.490,91.500,91.160,91.450,6386578.0,69900
2024-1-2,11:10,91.440,91.520,91.250,91.520,4230317.0,46300
2024-1-2,11:15,91.520,91.610,91.250,91.340,5929016.0,64900
2024-1-2,11:20,91.340,91.450,91.010,91.330,5837910.0,64000
2024-1-2,11:25,91.320,91.400,91.160,91.270,4610060.0,50500
2024-1-2,11:30,91.270,91.270,91.010,91.010,5867195.0,64400
2024-1-2,13:05,91.000,91.150,90.950,91.050,7056688.0,77500
2024-1-2,13:10,91.060,91.270,90.950,91.190,5736727.0,63000
2024-1-2,13:15,91.180,91.260,90.950,90.950,5129928.0,56300
2024-1-2,13:20,90.950,91.240,90.800,90.800,9217398.0,101300
2024-1-2,13:25,90.800,90.990,90.590,90.790,10048628.0,110800
2024-1-2,13:30,90.780,90.960,90.730,90.900,5880557.0,64700
2024-1-2,13:35,90.890,90.900,90.650,90.720,8205930.0,90400
2024-1-2,13:40,90.720,90.890,90.700,90.830,4313345.5,47500
2024-1-2,13:45,90.840,90.950,90.790,90.810,5806595.0,63900
2024-1-2,13:50,90.810,90.980,90.620,90.630,14006489.0,154300
2024-1-2,13:55,90.620,90.680,90.410,90.450,9542190.0,105400
2024-1-2,14:00,90.460,90.610,90.210,90.330,6476872.0,71700
2024-1-2,14:05,90.330,90.600,90.310,90.310,4196567.0,46400
2024-1-2,14:10,90.300,90.780,90.300,90.690,7585752.0,83800
2024-1-2,14:15,90.690,90.770,90.450,90.450,4576266.0,50500
2024-1-2,14:20,90.400,90.510,90.300,90.340,4872856.0,53900
2024-1-2,14:25,90.340,90.450,90.200,90.350,7803510.0,86400
2024-1-2,14:30,90.330,90.450,90.200,90.280,13715326.0,151900
2024-1-2,14:35,90.280,90.770,90.280,90.580,9326965.0,102900
2024-1-2,14:40,90.510,90.730,90.400,90.400,6517210.5,72000
2024-1-2,14:45,90.360,90.520,90.200,90.250,11274451.0,124700
2024-1-2,14:50,90.250,90.440,90.200,90.210,13092400.0,145000
2024-1-2,14:55,90.220,90.450,90.210,90.430,16157548.0,178800
2024-1-2,15:00,90.420,90.420,90.000,90.000,22684206.0,251700
2024-1-3,09:35,89.080,90.000,88.500,88.750,76366552.0,858500
2024-1-3,09:40,88.720,89.500,88.720,89.380,34781956.0,390400
2024-1-3,09:45,89.360,90.080,89.010,90.080,27595026.0,308000
2024-1-3,09:50,90.070,90.070,89.400,89.400,21833840.0,243200
2024-1-3,09:55,89.360,90.100,89.360,89.450,23189588.0,258700
2024-1-3,10:00,89.480,89.580,88.950,89.280,22020982.0,247200
2024-1-3,10:05,89.150,89.880,89.150,89.580,15467034.0,172700
2024-1-3,10:10,89.670,89.990,89.470,89.610,22045340.0,245700
2024-1-3,10:15,89.610,89.610,89.320,89.510,13074179.0,146200
2024-1-3,10:20,89.460,89.490,88.710,88.770,26070316.0,293100
2024-1-3,10:25,88.750,89.020,88.680,88.850,18845216.0,212200
2024-1-3,10:30,88.860,89.600,88.840,89.600,15821884.0,177300
2024-1-3,10:35,89.570,89.710,88.920,88.920,9820173.0,109900
2024-1-3,10:40,88.910,88.960,88.640,88.710,9526761.0,107300
2024-1-3,10:45,88.700,88.720,88.220,88.380,35730536.0,403900
2024-1-3,10:50,88.340,88.440,88.000,88.230,37596732.0,426100
2024-1-3,10:55,88.220,88.220,87.860,87.930,26672282.0,303000
2024-1-3,11:00,87.930,88.370,87.930,88.160,20850476.0,236700
2024-1-3,11:05,88.160,88.220,87.540,87.620,31852924.0,362600
2024-1-3,11:10,87.620,87.940,87.410,87.470,28077550.0,320200
2024-1-3,11:15,87.500,87.660,87.120,87.380,42242668.0,483200
2024-1-3,11:20,87.410,87.550,87.070,87.210,27178702.0,311400
2024-1-3,11:25,87.210,87.220,86.860,86.990,50384220.0,578700
2024-1-3,11:30,87.000,87.200,86.770,86.990,21842376.0,251100
2024-1-3,13:05,86.900,87.290,86.880,87.070,50271960.0,577800
2024-1-3,13:10,87.070,87.390,87.050,87.380,11750196.0,134700
2024-1-3,13:15,87.380,87.380,87.000,87.150,15204939.0,174300
2024-1-3,13:20,87.190,87.350,87.150,87.320,8538036.0,97900
2024-1-3,13:25,87.310,87.500,87.310,87.330,11656907.0,133400
2024-1-3,13:30,87.350,87.400,87.200,87.250,10697507.0,122500
2024-1-3,13:35,87.250,87.650,87.130,87.630,19003880.0,217500
2024-1-3,13:40,87.720,88.200,87.650,87.900,17702884.0,201300
2024-1-3,13:45,87.890,87.890,87.510,87.530,9103400.0,103800
