日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,48.760,49.250,47.900,47.910,205667616.0,4250800
2024-1-2,09:40,47.900,48.530,47.800,48.500,100526232.0,2088500
2024-1-2,09:45,48.550,48.700,48.360,48.600,57774648.0,1189900
2024-1-2,09:50,48.620,49.330,48.530,49.320,99768432.0,2035100
2024-1-2,09:55,49.330,49.350,48.750,48.910,45429440.0,924800
2024-1-2,10:00,48.830,48.960,48.730,48.800,34477388.0,706600
2024-1-2,10:05,48.830,50.350,48.700,50.080,138755392.0,2782000
2024-1-2,10:10,50.050,50.050,49.150,49.240,76260488.0,1540800
2024-1-2,10:15,49.240,49.310,49.090,49.230,24315400.0,494200
2024-1-2,10:20,49.230,49.550,49.200,49.260,29087132.0,589200
2024-1-2,10:25,49.260,49.280,49.090,49.280,19606778.0,399000
2024-1-2,10:30,49.280,49.690,49.180,49.410,30508108.0,616900
2024-1-2,10:35,49.410,49.410,49.140,49.210,16171619.0,328600
2024-1-2,10:40,49.200,49.200,49.000,49.070,19281508.0,393000
2024-1-2,10:45,49.070,49.120,48.910,49.010,14350037.0,292900
2024-1-2,10:50,49.020,49.020,48.910,48.950,13531355.0,276400
2024-1-2,10:55,48.940,48.940,48.700,48.740,23919866.0,490100
2024-1-2,11:00,48.790,48.870,48.720,48.870,19021704.0,389900
2024-1-2,11:05,48.880,49.060,48.870,48.900,14817091.0,302700
2024-1-2,11:10,48.890,49.110,48.820,49.090,8491200.0,173400
2024-1-2,11:15,49.090,49.130,48.910,48.910,11294670.0,230300
2024-1-2,11:20,48.910,48.960,48.880,48.900,5674942.0,116000
2024-1-2,11:25,48.900,48.910,48.800,48.820,6580204.0,134700
2024-1-2,11:30,48.820,48.860,48.750,48.770,12758442.0,261500
2024-1-2,13:05,48.760,48.760,48.660,48.720,11377624.0,233600
2024-1-2,13:10,48.780,48.800,48.680,48.700,14360058.0,294800
2024-1-2,13:15,48.700,48.700,48.500,48.500,22731296.0,468100
2024-1-2,13:20,48.490,48.540,48.380,48.410,18866776.0,389400
2024-1-2,13:25,48.400,48.500,48.400,48.500,9990124.0,206300
2024-1-2,13:30,48.490,48.690,48.450,48.560,14575955.0,300200
2024-1-2,13:35,48.550,48.560,48.380,48.410,21842576.0,451000
2024-1-2,13:40,48.410,48.550,48.390,48.470,11993261.0,247500
2024-1-2,13:45,48.500,48.580,48.380,48.390,14138921.0,291800
2024-1-2,13:50,48.400,48.400,48.170,48.190,40841372.0,846600
2024-1-2,13:55,48.200,48.200,48.040,48.110,26607304.0,553000
2024-1-2,14:00,48.120,48.170,48.000,48.030,29069180.0,605100
2024-1-2,14:05,48.030,48.110,47.900,47.950,31864680.0,664200
2024-1-2,14:10,47.940,48.200,47.940,48.180,17768242.0,369100
2024-1-2,14:15,48.170,48.200,48.100,48.180,11156706.0,231700
2024-1-2,14:20,48.170,48.190,48.110,48.120,9307569.0,193300
2024-1-2,14:25,48.130,48.200,48.080,48.080,11438615.0,237600
2024-1-2,14:30,48.100,48.150,48.010,48.150,11119785.0,231200
2024-1-2,14:35,48.120,48.310,48.120,48.200,13044426.0,270400
2024-1-2,14:40,48.180,48.300,48.100,48.130,11603836.0,240700
2024-1-2,14:45,48.160,48.170,47.980,48.000,20539668.0,427500
2024-1-2,14:50,48.000,48.030,47.920,47.970,30699188.0,639900
2024-1-2,14:55,47.960,48.030,47.960,48.000,33285312.0,693500
2024-1-2,15:00,47.970,48.000,47.970,47.970,26611128.0,554600
2024-1-3,09:35,47.500,47.740,46.600,47.100,200715280.0,4265300
2024-1-3,09:40,47.080,47.650,47.080,47.500,73679200.0,1554800
2024-1-3,09:45,47.470,47.570,47.150,47.520,51936328.0,1096000
2024-1-3,09:50,47.550,47.660,47.270,47.300,32763088.0,690600
2024-1-3,09:55,47.260,47.500,47.220,47.300,31809786.0,672100
2024-1-3,10:00,47.270,47.270,46.880,47.010,43963848.0,935500
2024-1-3,10:05,47.010,47.370,47.000,47.300,26644972.0,564600
2024-1-3,10:10,47.300,47.650,47.140,47.330,47295544.0,997100
2024-1-3,10:15,47.320,47.460,47.210,47.450,17651788.0,373100
2024-1-3,10:20,47.450,47.450,47.000,47.010,17649220.0,374200
2024-1-3,10:25,47.010,47.140,46.930,47.030,24374218.0,518400
2024-1-3,10:30,47.030,47.220,47.030,47.190,11766886.0,249800
2024-1-3,10:35,47.200,47.370,47.200,47.240,12174262.0,257400
2024-1-3,10:40,47.220,47.220,46.950,46.950,21532306.0,457900
2024-1-3,10:45,46.950,47.000,46.800,46.830,30335140.0,647100
2024-1-3,10:50,46.820,46.860,46.580,46.740,72565288.0,1553900
2024-1-3,10:55,46.750,46.750,46.620,46.640,28618536.0,612900
2024-1-3,11:00,46.630,46.750,46.570,46.570,42350036.0,908100
2024-1-3,11:05,46.560,46.560,46.000,46.090,132967104.0,2875100
2024-1-3,11:10,46.110,46.280,46.090,46.160,68366240.0,1481000
2024-1-3,11:15,46.150,46.250,45.860,45.900,79410416.0,1726200
2024-1-3,11:20,46.060,46.150,45.800,45.910,45950360.0,999900
2024-1-3,11:25,45.900,46.000,45.560,45.640,55104664.0,1204300
2024-1-3,11:30,45.660,45.740,45.610,45.650,37526492.0,821700
2024-1-3,13:05,45.620,45.760,45.500,45.530,55878404.0,1225500
2024-1-3,13:10,45.520,45.840,45.520,45.760,28776218.0,630600
2024-1-3,13:15,45.760,45.760,45.470,45.510,38312660.0,840300
2024-1-3,13:20,45.500,45.670,45.490,45.590,25907118.0,568600
2024-1-3,13:25,45.590,45.840,45.450,45.550,30685414.0,672700
2024-1-3,13:30,45.550,45.740,45.530,45.590,13799516.0,302600
2024-1-3,13:35,45.590,45.650,45.530,45.570,25259924.0,554100
2024-1-3,13:40,45.530,45.950,45.530,45.660,30966678.0,676300
2024-1-3,13:45,45.660,45.690,45.510,45.510,14391841.0,315700
2024-1-3,13:50,45.520,45.610,45.510,45.600,14649741.0,321700
2024-1-3,13:55,45.610,45.730,45.580,45.710,19884152.0,435700
2024-1-3,14:00,45.700,46.150,45.700,46.030,30083126.0,656100
2024-1-3,14:05,46.090,46.090,45.920,46.080,28788170.0,625800
2024-1-3,14:10,46.100,46.360,46.090,46.360,24781884.0,536400
2024-1-3,14:15,46.380,46.390,46.130,46.140,23366856.0,504800
2024-1-3,14:20,46.130,46.350,46.110,46.350,13332482.0,288600
2024-1-3,14:25,46.340,46.480,46.220,46.430,28321008.0,610100
2024-1-3,14:30,46.450,46.740,46.450,46.600,29804316.0,639100
2024-1-3,14:35,46.600,46.850,46.590,46.640,35877036.0,767700
2024-1-3,14:40,46.660,46.680,46.510,46.580,20108474.0,431600
2024-1-3,14:45,46.580,46.630,46.470,46.580,27093894.0,581800
2024-1-3,14:50,46.590,46.650,46.510,46.520,22748710.0,488500
2024-1-3,14:55,46.540,46.540,46.450,46.470,33669080.0,724300
2024-1-3,15:00,46.470,46.570,46.450,46.520,32093386.0,690000
2024-1-4,09:35,46.690,47.000,46.100,46.160,107694888.0,2310400
2024-1-4,09:40,46.180,46.770,46.160,46.370,72125176.0,1550500
2024-1-4,09:45,46.370,46.650,46.220,46.420,53707080.0,1156900
2024-1-4,09:50,46.430,46.750,46.320,46.420,46127760.0,991300
2024-1-4,09:55,46.410,46.590,46.270,46.280,46763092.0,1008000
2024-1-4,10:00,46.270,46.400,45.880,45.900,83063504.0,1803600
2024-1-4,10:05,45.910,46.400,45.910,46.400,38518620.0,835900
2024-1-4,10:10,46.420,46.890,46.420,46.630,70696544.0,1514000
2024-1-4,10:15,46.620,46.810,46.490,46.700,47425592.0,1016300
2024-1-4,10:20,46.750,47.080,46.750,47.050,98740704.0,2104000
2024-1-4,10:25,47.050,47.330,46.920,47.220,88746944.0,1882000
2024-1-4,10:30,47.250,47.620,47.110,47.540,110776752.0,2334200
2024-1-4,10:35,47.520,47.520,47.240,47.240,53212412.0,1122000
2024-1-4,10:40,47.220,47.220,47.010,47.020,34421128.0,731100
2024-1-4,10:45,47.020,47.260,47.010,47.140,20090544.0,426200
2024-1-4,10:50,47.160,47.500,47.160,47.330,28112072.0,593100
2024-1-4,10:55,47.320,47.330,47.200,47.270,13447394.0,284500
2024-1-4,11:00,47.250,47.250,47.090,47.100,14186627.0,300800
2024-1-4,11:05,47.090,47.230,47.050,47.230,11912196.0,252700
2024-1-4,11:10,47.230,47.380,47.210,47.240,15975282.0,337800
2024-1-4,11:15,47.240,47.590,47.240,47.590,36626376.0,771600
2024-1-4,11:20,47.600,47.920,47.500,47.790,79636424.0,1668900
2024-1-4,11:25,47.780,47.830,47.580,47.600,37455236.0,784400
2024-1-4,11:30,47.580,47.910,47.490,47.880,31075440.0,650900
2024-1-4,13:05,47.890,47.930,47.540,47.660,25228528.0,528900
2024-1-4,13:10,47.650,47.690,47.360,47.500,19549510.0,411700
2024-1-4,13:15,47.450,47.660,47.440,47.640,16385272.0,344700
2024-1-4,13:20,47.650,47.750,47.620,47.660,14401664.0,302100
2024-1-4,13:25,47.660,47.660,47.430,47.460,24246068.0,509500
2024-1-4,13:30,47.440,47.500,47.360,47.360,13092209.0,276000
2024-1-4,13:35,47.360,47.430,47.300,47.350,18675824.0,394500
2024-1-4,13:40,47.350,47.370,47.250,47.350,14826748.0,313400
2024-1-4,13:45,47.340,47.500,47.300,47.430,13112485.0,276600
2024-1-4,13:50,47.440,47.440,47.210,47.230,20877152.0,441500
2024-1-4,13:55,47.240,47.550,47.240,47.520,18186278.0,383500
2024-1-4,14:00,47.530,47.570,47.470,47.550,17585212.0,370000
2024-1-4,14:05,47.550,47.550,47.280,47.380,17347980.0,365800
2024-1-4,14:10,47.380,47.550,47.340,47.530,23051822.0,485400
2024-1-4,14:15,47.530,47.590,47.350,47.440,12117248.0,255100
2024-1-4,14:20,47.410,47.530,47.330,47.510,8646072.0,182400
2024-1-4,14:25,47.470,47.500,47.380,47.380,10191621.0,214800
2024-1-4,14:30,47.380,47.450,47.380,47.450,9315573.0,196500
2024-1-4,14:35,47.430,47.430,47.250,47.250,27810600.0,587500
2024-1-4,14:40,47.340,47.450,47.250,47.400,22766192.0,480800
2024-1-4,14:45,47.380,47.530,47.340,47.530,22192536.0,467900
2024-1-4,14:50,47.520,47.540,47.420,47.470,21148030.0,445500
2024-1-4,14:55,47.470,47.630,47.440,47.540,45209284.0,951200
2024-1-4,15:00,47.540,47.590,47.520,47.580,55469972.0,1166000
2024-1-5,09:35,47.290,47.290,46.000,46.100,147119872.0,3171200
2024-1-5,09:40,46.140,46.550,46.000,46.120,97650592.0,2113000
2024-1-5,09:45,46.070,46.140,45.000,45.670,192099712.0,4224400
2024-1-5,09:50,45.660,45.930,45.420,45.740,68503224.0,1498400
2024-1-5,09:55,45.700,45.930,45.570,45.590,30394044.0,664700
2024-1-5,10:00,45.590,46.000,45.590,45.870,27364492.0,597600
2024-1-5,10:05,45.870,46.090,45.840,45.970,29957072.0,651900
2024-1-5,10:10,45.970,46.100,45.870,45.910,22738156.0,494500
2024-1-5,10:15,45.890,45.890,45.480,45.530,45085060.0,987800
2024-1-5,10:20,45.530,45.630,45.400,45.450,43156888.0,948600
2024-1-5,10:25,45.450,45.550,45.230,45.550,94857744.0,2092900
2024-1-5,10:30,45.540,45.750,45.500,45.580,39507192.0,865800
2024-1-5,10:35,45.590,45.690,45.280,45.290,26765846.0,588900
2024-1-5,10:40,45.280,45.480,45.120,45.350,54259244.0,1200300
2024-1-5,10:45,45.310,45.360,45.120,45.140,21829440.0,482500
2024-1-5,10:50,45.150,45.370,45.140,45.260,25398744.0,561200
2024-1-5,10:55,45.270,45.450,45.210,45.440,20692672.0,456300
2024-1-5,11:00,45.440,45.470,45.300,45.470,14015566.0,309000
2024-1-5,11:05,45.450,45.650,45.440,45.610,18576240.0,407700
2024-1-5,11:10,45.610,45.610,45.260,45.260,10829125.0,238500
2024-1-5,11:15,45.260,45.380,45.210,45.260,16198916.0,357900
2024-1-5,11:20,45.280,45.320,45.210,45.240,16509182.0,365000
2024-1-5,11:25,45.240,45.380,45.230,45.260,18958160.0,418700
2024-1-5,11:30,45.260,45.290,45.030,45.050,43155504.0,957500
2024-1-5,13:05,45.030,45.180,44.970,45.080,53281308.0,1183300
2024-1-5,13:10,45.060,45.210,45.060,45.200,19016776.0,421200
2024-1-5,13:15,45.200,45.260,45.110,45.110,14126355.0,312800
2024-1-5,13:20,45.140,45.290,45.100,45.100,10897294.0,241200
2024-1-5,13:25,45.100,45.360,45.050,45.320,24468300.0,540900
2024-1-5,13:30,45.350,45.350,45.200,45.230,9436860.0,208600
2024-1-5,13:35,45.230,45.380,45.230,45.260,6865455.0,151600
2024-1-5,13:40,45.250,45.320,45.150,45.150,10429161.0,230600
2024-1-5,13:45,45.150,45.170,45.020,45.030,18146350.0,402700
2024-1-5,13:50,45.040,45.140,44.980,45.070,18022448.0,400200
2024-1-5,13:55,45.070,45.130,44.890,44.970,21283524.0,473100
2024-1-5,14:00,44.970,45.090,44.970,45.020,13714882.0,304600
2024-1-5,14:05,45.020,45.250,45.020,45.230,17198518.0,381000
2024-1-5,14:10,45.220,45.240,44.970,45.020,11702130.0,259800
2024-1-5,14:15,45.010,45.150,45.000,45.040,9004254.0,199700
2024-1-5,14:20,45.040,45.080,44.930,44.950,20422312.0,454000
2024-1-5,14:25,44.950,44.980,44.790,44.800,25808880.0,575000
2024-1-5,14:30,44.800,44.930,44.780,44.800,25162004.0,561300
2024-1-5,14:35,44.790,44.870,44.700,44.740,41388932.0,923900
2024-1-5,14:40,44.720,44.780,44.440,44.460,56269712.0,1261400
2024-1-5,14:45,44.460,44.750,44.460,44.740,46658860.0,1044700
2024-1-5,14:50,44.740,44.910,44.680,44.910,43209668.0,965500
2024-1-5,14:55,44.870,44.950,44.770,44.850,41041888.0,914900
2024-1-5,15:00,44.830,44.840,44.610,44.720,54225768.0,1212200
2024-1-8,09:35,44.610,44.920,43.740,43.770,119153312.0,2688500
2024-1-8,09:40,43.700,44.300,43.550,44.300,83178536.0,1894800
2024-1-8,09:45,44.300,44.300,43.860,44.030,47386920.0,1076000
2024-1-8,09:50,44.070,44.400,44.000,44.100,32245076.0,730000
2024-1-8,09:55,44.100,44.260,44.040,44.150,22881524.0,518400
2024-1-8,10:00,44.140,44.360,43.980,44.170,26800488.0,606500
2024-1-8,10:05,44.110,44.600,44.110,44.600,24662560.0,556900
2024-1-8,10:10,44.600,44.990,44.480,44.790,58508468.0,1306500
2024-1-8,10:15,44.810,45.000,44.710,45.000,44750384.0,998600
2024-1-8,10:20,45.040,45.210,44.830,45.190,46275012.0,1028200
2024-1-8,10:25,45.160,45.450,45.040,45.220,77890952.0,1719700
2024-1-8,10:30,45.170,45.300,45.010,45.300,26782948.0,593500
2024-1-8,10:35,45.240,45.610,45.160,45.380,63831996.0,1406400
2024-1-8,10:40,45.340,45.380,45.000,45.040,26232924.0,580700
2024-1-8,10:45,45.030,45.170,44.930,45.050,29013744.0,643900
2024-1-8,10:50,45.070,45.100,44.940,45.020,8659864.0,192400
2024-1-8,10:55,45.030,45.200,44.960,44.990,8917162.0,197900
2024-1-8,11:00,45.000,45.080,44.930,44.960,10243026.0,227600
2024-1-8,11:05,44.970,45.070,44.880,44.900,13190056.0,293500
2024-1-8,11:10,44.900,44.970,44.850,44.930,16259863.0,362100
2024-1-8,11:15,44.940,45.010,44.850,44.930,7457927.0,166000
2024-1-8,11:20,44.940,45.110,44.900,44.950,11107974.0,246800
2024-1-8,11:25,44.990,45.060,44.750,44.750,25882418.0,577600
2024-1-8,11:30,44.770,44.840,44.710,44.760,12000666.0,268100
2024-1-8,13:05,44.770,44.770,44.520,44.630,15620485.0,350000
2024-1-8,13:10,44.630,44.720,44.500,44.590,14606515.0,327600
2024-1-8,13:15,44.560,44.590,44.460,44.500,13267623.0,298100
2024-1-8,13:20,44.500,44.580,44.470,44.470,12140233.0,272700
2024-1-8,13:25,44.480,44.570,44.460,44.480,11757015.0,264200
2024-1-8,13:30,44.490,44.510,44.410,44.450,10683987.0,240300
2024-1-8,13:35,44.460,44.520,44.290,44.340,23618244.0,531800
2024-1-8,13:40,44.310,44.380,44.250,44.260,15717140.0,354700
2024-1-8,13:45,44.250,44.350,44.240,44.280,10852295.0,245100
2024-1-8,13:50,44.290,44.380,44.250,44.350,17638132.0,398200
2024-1-8,13:55,44.330,44.370,44.210,44.370,15006100.0,339000
2024-1-8,14:00,44.370,44.530,44.290,44.340,15820910.0,356300
2024-1-8,14:05,44.340,44.420,44.240,44.350,14916682.0,336600
2024-1-8,14:10,44.380,44.680,44.330,44.460,27887316.0,625800
2024-1-8,14:15,44.450,44.450,44.300,44.390,10379962.0,234000
2024-1-8,14:20,44.380,44.390,44.280,44.300,7905326.0,178400
2024-1-8,14:25,44.310,44.350,44.270,44.340,9217510.0,208100
2024-1-8,14:30,44.310,44.440,44.310,44.340,6641408.0,149700
2024-1-8,14:35,44.330,44.330,44.120,44.120,20816326.0,470400
2024-1-8,14:40,44.120,44.220,44.090,44.100,22478632.0,509100
2024-1-8,14:45,44.110,44.230,43.980,43.980,24766488.0,561700
2024-1-8,14:50,43.970,44.110,43.970,44.060,33225228.0,754400
2024-1-8,14:55,44.050,44.100,43.980,43.980,23006476.0,522300
2024-1-8,15:00,43.980,44.070,43.960,43.960,37120788.0,843900
2024-1-9,09:35,45.250,46.220,45.250,45.860,438973024.0,9617600
2024-1-9,09:40,45.910,46.120,45.470,45.750,157906736.0,3441500
2024-1-9,09:45,45.750,45.980,45.450,45.460,88169864.0,1927900
2024-1-9,09:50,45.480,46.280,45.480,46.200,122049808.0,2654500
2024-1-9,09:55,46.240,46.290,45.650,45.720,59966180.0,1306400
2024-1-9,10:00,45.730,45.790,45.500,45.780,38482308.0,843900
2024-1-9,10:05,45.770,45.980,45.700,45.840,41486012.0,904400
2024-1-9,10:10,45.870,45.870,45.210,45.270,45665592.0,1002000
2024-1-9,10:15,45.270,45.320,45.100,45.140,86814336.0,1920900
2024-1-9,10:20,45.140,45.650,45.140,45.500,45113176.0,994100
2024-1-9,10:25,45.560,45.680,45.510,45.630,17669424.0,387400
2024-1-9,10:30,45.630,45.950,45.500,45.800,40604008.0,886900
2024-1-9,10:35,45.760,45.830,45.580,45.820,21231236.0,464400
2024-1-9,10:40,45.800,45.810,45.360,45.450,15680494.0,343900
2024-1-9,10:45,45.460,45.470,45.350,45.370,11728308.0,258300
2024-1-9,10:50,45.370,45.450,45.290,45.370,12455665.0,274600
2024-1-9,10:55,45.390,45.410,45.260,45.400,11639852.0,256800
2024-1-9,11:00,45.400,45.400,45.190,45.240,14382877.0,317900
2024-1-9,11:05,45.250,45.320,45.170,45.300,24558532.0,543100
2024-1-9,11:10,45.300,45.370,45.200,45.330,13609023.0,300400
