日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,31.000,31.310,30.810,31.030,44310688.0,1423900
2024-1-2,09:40,31.030,31.070,30.770,31.000,40289784.0,1302600
2024-1-2,09:45,31.000,31.000,30.830,30.920,32008612.0,1035400
2024-1-2,09:50,30.930,31.150,30.930,30.980,15012387.0,483900
2024-1-2,09:55,30.980,31.020,30.950,30.950,8261264.0,266600
2024-1-2,10:00,30.940,30.940,30.800,30.830,15796901.0,511900
2024-1-2,10:05,30.830,31.050,30.820,31.020,17250818.0,557800
2024-1-2,10:10,31.040,31.060,30.900,30.910,6561354.0,211700
2024-1-2,10:15,30.920,30.960,30.820,30.910,8367913.0,271100
2024-1-2,10:20,30.900,30.980,30.860,30.920,6160650.0,199300
2024-1-2,10:25,30.920,30.940,30.870,30.940,6261527.0,202700
2024-1-2,10:30,30.950,30.970,30.870,30.870,7695397.0,249100
2024-1-2,10:35,30.880,30.890,30.820,30.850,8463975.0,274400
2024-1-2,10:40,30.840,30.840,30.710,30.720,18431472.0,598500
2024-1-2,10:45,30.720,30.820,30.710,30.810,7857151.0,255600
2024-1-2,10:50,30.800,30.810,30.670,30.700,13021774.0,423700
2024-1-2,10:55,30.700,30.710,30.650,30.660,7832503.0,255300
2024-1-2,11:00,30.660,30.680,30.620,30.640,9648856.0,314800
2024-1-2,11:05,30.640,30.800,30.640,30.740,4650597.0,151300
2024-1-2,11:10,30.740,30.770,30.670,30.770,7496995.0,244100
2024-1-2,11:15,30.770,30.830,30.750,30.800,3928828.0,127600
2024-1-2,11:20,30.800,30.830,30.770,30.790,3374849.0,109600
2024-1-2,11:25,30.790,30.800,30.710,30.740,4686296.0,152400
2024-1-2,11:30,30.740,30.750,30.710,30.720,2513407.0,81800
2024-1-2,13:05,30.720,30.740,30.710,30.720,5317858.0,173100
2024-1-2,13:10,30.730,30.820,30.730,30.800,4339572.0,141000
2024-1-2,13:15,30.800,30.920,30.750,30.830,6807397.0,220900
2024-1-2,13:20,30.840,30.840,30.760,30.760,3350866.0,108800
2024-1-2,13:25,30.760,30.790,30.720,30.760,2623486.0,85300
2024-1-2,13:30,30.770,30.830,30.760,30.830,2423252.0,78700
2024-1-2,13:35,30.830,30.840,30.710,30.770,7452018.0,242200
2024-1-2,13:40,30.770,30.790,30.720,30.790,2484605.0,80800
2024-1-2,13:45,30.790,30.800,30.710,30.720,3650489.0,118700
2024-1-2,13:50,30.720,30.740,30.700,30.700,4910559.0,159900
2024-1-2,13:55,30.710,30.710,30.650,30.680,6982381.0,227600
2024-1-2,14:00,30.680,30.700,30.630,30.670,4242994.0,138400
2024-1-2,14:05,30.660,30.660,30.590,30.590,10081702.0,329300
2024-1-2,14:10,30.600,30.650,30.580,30.630,4365133.0,142600
2024-1-2,14:15,30.630,30.670,30.620,30.630,3078798.0,100500
2024-1-2,14:20,30.630,30.660,30.610,30.610,5552033.0,181300
2024-1-2,14:25,30.600,30.600,30.550,30.570,7096622.0,232100
2024-1-2,14:30,30.570,30.580,30.500,30.550,12432003.0,407200
2024-1-2,14:35,30.550,30.650,30.550,30.610,5234024.0,171000
2024-1-2,14:40,30.610,30.640,30.560,30.570,5135043.0,167800
2024-1-2,14:45,30.570,30.630,30.560,30.570,5232989.0,171100
