日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-1-2,09:35,31.170,31.480,31.030,31.210,11506930.0,368800
2024-1-2,09:40,31.220,31.220,31.080,31.190,8065191.0,258900
2024-1-2,09:45,31.200,31.400,31.200,31.330,4705840.0,150300
2024-1-2,09:50,31.350,31.600,31.300,31.470,12193792.0,387900
2024-1-2,09:55,31.470,31.530,31.410,31.500,6383629.0,202800
2024-1-2,10:00,31.550,31.550,31.420,31.470,3675197.5,116700
2024-1-2,10:05,31.460,31.500,31.350,31.380,3654809.0,116300
2024-1-2,10:10,31.350,31.420,31.310,31.420,2523758.0,80500
2024-1-2,10:15,31.410,31.450,31.360,31.450,1730883.0,55100
2024-1-2,10:20,31.450,31.490,31.430,31.480,1638627.0,52100
2024-1-2,10:25,31.470,31.470,31.400,31.410,1869150.0,59500
2024-1-2,10:30,31.410,31.410,31.340,31.350,2177107.0,69400
2024-1-2,10:35,31.340,31.350,31.310,31.320,2921889.0,93300
2024-1-2,10:40,31.330,31.340,31.310,31.320,971067.0,31000
2024-1-2,10:45,31.320,31.340,31.220,31.220,3226757.0,103100
2024-1-2,10:50,31.220,31.270,31.220,31.250,2849888.0,91200
2024-1-2,10:55,31.240,31.240,31.180,31.200,1504366.0,48200
2024-1-2,11:00,31.190,31.200,31.160,31.200,1275422.0,40900
2024-1-2,11:05,31.180,31.230,31.180,31.230,652100.0,20900
2024-1-2,11:10,31.250,31.270,31.230,31.240,1328294.0,42500
2024-1-2,11:15,31.260,31.300,31.230,31.290,1197085.0,38300
2024-1-2,11:20,31.260,31.400,31.260,31.370,3200627.0,102100
2024-1-2,11:25,31.390,31.400,31.260,31.390,2267253.0,72300
2024-1-2,11:30,31.310,31.380,31.300,31.360,1097154.0,35000
2024-1-2,13:05,31.370,31.370,31.240,31.340,2882023.0,92000
2024-1-2,13:10,31.280,31.390,31.280,31.310,1814951.375,57900
2024-1-2,13:15,31.350,31.380,31.300,31.330,1172850.5,37400
2024-1-2,13:20,31.340,31.340,31.260,31.290,2285027.0,73000
2024-1-2,13:25,31.300,31.330,31.250,31.320,1718461.0,54900
