日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,35.600,37.180,35.590,36.910,1418938368.0,38697300
2024-4-1,09:40,36.930,37.180,36.860,37.180,660504896.0,17783300
2024-4-1,09:45,37.180,37.180,37.180,37.180,54833064.0,1474800
2024-4-1,09:50,37.180,37.180,37.180,37.180,57193992.0,1538300
2024-4-1,09:55,37.180,37.180,37.180,37.180,57907848.0,1557500
2024-4-1,10:00,37.180,37.180,36.780,36.810,376243872.0,10146200
2024-4-1,10:05,36.800,36.800,36.280,36.370,343955296.0,9401300
2024-4-1,10:10,36.350,36.600,36.170,36.600,203111648.0,5590700
2024-4-1,10:15,36.580,36.580,36.250,36.340,98732384.0,2715800
2024-4-1,10:20,36.300,36.380,36.200,36.310,86936136.0,2396500
2024-4-1,10:25,36.330,36.410,36.160,36.200,73793896.0,2034600
2024-4-1,10:30,36.170,36.310,35.930,36.200,130949248.0,3630800
2024-4-1,10:35,36.200,36.290,36.180,36.290,38954992.0,1075600
2024-4-1,10:40,36.310,36.310,36.100,36.270,40614440.0,1122200
2024-4-1,10:45,36.260,36.410,36.230,36.380,40653888.0,1119000
2024-4-1,10:50,36.380,36.380,36.210,36.250,24425308.0,673300
2024-4-1,10:55,36.240,36.370,36.240,36.310,23375044.0,643500
2024-4-1,11:00,36.330,36.740,36.310,36.450,59422624.0,1625800
2024-4-1,11:05,36.450,36.470,36.280,36.280,22809376.0,626900
2024-4-1,11:10,36.270,36.320,36.210,36.290,17465392.0,481400
2024-4-1,11:15,36.290,36.300,36.160,36.200,19228998.0,531000
2024-4-1,11:20,36.200,36.280,36.120,36.260,22302466.0,616500
2024-4-1,11:25,36.260,36.270,36.180,36.190,14337919.0,395700
2024-4-1,11:30,36.190,36.260,36.190,36.240,12283803.0,339100
2024-4-1,13:05,36.450,36.660,36.300,36.320,66059320.0,1810300
2024-4-1,13:10,36.310,36.340,36.180,36.340,32220688.0,889300
2024-4-1,13:15,36.350,36.350,36.230,36.270,16728280.0,461000
2024-4-1,13:20,36.260,36.260,35.950,35.950,67387736.0,1867500
2024-4-1,13:25,35.960,36.050,35.940,35.980,49671684.0,1379800
2024-4-1,13:30,35.990,36.070,35.850,35.860,48627892.0,1352600
2024-4-1,13:35,35.850,35.950,35.800,35.920,44070096.0,1229500
2024-4-1,13:40,35.930,35.930,35.850,35.860,20266306.0,564700
2024-4-1,13:45,35.850,35.860,35.730,35.850,45446412.0,1269700
2024-4-1,13:50,35.850,35.870,35.780,35.780,25439920.0,710000
2024-4-1,13:55,35.780,35.840,35.750,35.840,27986856.0,782100
2024-4-1,14:00,35.850,35.960,35.850,35.960,25537328.0,710900
2024-4-1,14:05,35.960,36.220,35.950,36.220,33489256.0,929100
2024-4-1,14:10,36.220,36.340,36.050,36.340,34256836.0,946700
2024-4-1,14:15,36.340,36.540,36.210,36.340,62686776.0,1722200
2024-4-1,14:20,36.330,36.980,36.330,36.980,102359368.0,2791700
2024-4-1,14:25,36.940,37.090,36.870,36.930,163391872.0,4418100
2024-4-1,14:30,36.910,37.010,36.750,36.770,57411224.0,1556100
2024-4-1,14:35,36.760,36.850,36.680,36.710,42632588.0,1160100
2024-4-1,14:40,36.720,36.750,36.580,36.680,44706248.0,1219500
2024-4-1,14:45,36.660,36.950,36.660,36.900,55885256.0,1517600
2024-4-1,14:50,36.880,36.900,36.730,36.850,49580212.0,1345900
2024-4-1,14:55,36.850,36.850,36.760,36.820,85635776.0,2326900
2024-4-1,15:00,36.800,36.820,36.800,36.800,75886944.0,2061900
2024-4-2,09:35,35.700,36.460,35.580,36.080,703262656.0,19531400
2024-4-2,09:40,36.070,36.360,35.950,36.100,197139040.0,5448500
2024-4-2,09:45,36.050,36.150,35.820,35.830,170466304.0,4742400
2024-4-2,09:50,35.820,36.080,35.820,35.900,100898048.0,2807200
2024-4-2,09:55,35.890,35.980,35.790,35.860,105941008.0,2953100
2024-4-2,10:00,35.850,35.860,35.670,35.790,91941696.0,2571300
2024-4-2,10:05,35.770,35.980,35.730,35.930,81617216.0,2276900
2024-4-2,10:10,35.950,36.090,35.800,35.830,79153968.0,2202200
2024-4-2,10:15,35.830,36.000,35.730,36.000,45940448.0,1281700
2024-4-2,10:20,36.000,36.090,35.920,36.000,53311384.0,1480900
2024-4-2,10:25,36.000,36.180,36.000,36.060,53172268.0,1472400
2024-4-2,10:30,36.060,36.060,35.900,35.950,39554288.0,1099600
2024-4-2,10:35,35.950,36.080,35.910,36.020,29153524.0,810300
2024-4-2,10:40,36.030,36.160,35.990,36.050,43857680.0,1215600
2024-4-2,10:45,36.060,36.380,36.030,36.380,51501216.0,1423500
2024-4-2,10:50,36.380,36.400,36.180,36.230,51954204.0,1432600
2024-4-2,10:55,36.240,36.260,36.070,36.160,36460464.0,1008200
2024-4-2,11:00,36.160,36.280,36.140,36.280,25314716.0,698900
