日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-4-1,09:35,24.220,24.320,23.210,23.710,75805424.0,3204900
2024-4-1,09:40,23.720,23.950,23.610,23.920,40401380.0,1697100
2024-4-1,09:45,23.900,24.030,23.800,24.030,45733588.0,1911100
2024-4-1,09:50,24.000,24.140,23.910,23.930,42499124.0,1769300
2024-4-1,09:55,23.920,24.020,23.860,24.020,32385486.0,1353200
2024-4-1,10:00,24.020,24.090,23.970,23.990,25557200.0,1063400
2024-4-1,10:05,24.000,24.040,23.690,23.800,52383624.0,2193800
2024-4-1,10:10,23.800,23.830,23.760,23.800,21751256.0,914100
2024-4-1,10:15,23.840,24.050,23.840,24.040,18571328.0,774600
2024-4-1,10:20,24.100,24.130,24.050,24.120,27393850.0,1136900
2024-4-1,10:25,24.120,24.500,24.110,24.470,46319588.0,1909500
2024-4-1,10:30,24.500,24.600,24.380,24.470,39564264.0,1616300
2024-4-1,10:35,24.470,24.470,24.280,24.340,22750910.0,932900
2024-4-1,10:40,24.350,24.350,24.260,24.280,10878278.0,447600
2024-4-1,10:45,24.280,24.550,24.250,24.550,16303048.0,667400
2024-4-1,10:50,24.550,24.550,24.420,24.490,17962172.0,733200
2024-4-1,10:55,24.510,24.720,24.510,24.660,25812012.0,1047500
2024-4-1,11:00,24.660,24.880,24.590,24.600,23063754.0,933800
2024-4-1,11:05,24.610,24.650,24.470,24.500,11476862.0,467200
2024-4-1,11:10,24.520,24.650,24.520,24.580,11153097.0,453400
2024-4-1,11:15,24.570,24.570,24.450,24.480,9702902.0,395900
2024-4-1,11:20,24.480,24.570,24.400,24.570,11780059.0,481200
2024-4-1,11:25,24.580,24.630,24.560,24.600,6063647.0,246500
2024-4-1,11:30,24.610,24.620,24.570,24.600,3071888.0,124900
2024-4-1,13:05,24.620,24.640,24.400,24.410,11439863.0,466200
2024-4-1,13:10,24.410,24.460,24.350,24.420,12065152.0,494900
2024-4-1,13:15,24.410,24.540,24.350,24.510,16708538.0,682500
2024-4-1,13:20,24.500,24.500,24.340,24.360,8504217.0,348600
2024-4-1,13:25,24.350,24.380,24.310,24.370,12377653.0,508300
2024-4-1,13:30,24.380,24.430,24.300,24.310,10127508.0,415700
2024-4-1,13:35,24.320,24.360,24.260,24.310,9589445.0,394600
2024-4-1,13:40,24.310,24.390,24.300,24.340,6939691.0,285300
2024-4-1,13:45,24.340,24.380,24.280,24.300,10687870.0,439400
2024-4-1,13:50,24.300,24.320,24.280,24.310,8454241.0,347900
2024-4-1,13:55,24.310,24.360,24.270,24.340,7311101.0,300900
2024-4-1,14:00,24.340,24.430,24.340,24.430,5706903.0,234000
2024-4-1,14:05,24.430,24.440,24.300,24.340,9753187.0,400200
2024-4-1,14:10,24.340,24.420,24.320,24.380,4138015.0,169800
2024-4-1,14:15,24.370,24.420,24.330,24.360,6035006.0,247500
2024-4-1,14:20,24.360,24.520,24.320,24.510,11411576.0,467300
2024-4-1,14:25,24.520,24.640,24.510,24.540,21394112.0,870800
2024-4-1,14:30,24.530,24.550,24.380,24.400,14186761.0,580300
2024-4-1,14:35,24.400,24.550,24.390,24.510,10278530.0,420700
2024-4-1,14:40,24.520,24.560,24.450,24.450,16230646.0,662500
2024-4-1,14:45,24.440,24.580,24.430,24.570,15702384.0,640700
2024-4-1,14:50,24.570,24.580,24.460,24.510,20830792.0,849200
2024-4-1,14:55,24.520,24.520,24.440,24.490,17754392.0,725400
2024-4-1,15:00,24.480,24.500,24.430,24.470,22579688.0,922700
2024-4-2,09:35,24.470,24.850,24.280,24.750,81787200.0,3315700
2024-4-2,09:40,24.760,24.920,24.610,24.640,48971412.0,1978700
2024-4-2,09:45,24.610,24.610,24.320,24.460,30765756.0,1259600
2024-4-2,09:50,24.490,24.700,24.480,24.580,21698800.0,881500
2024-4-2,09:55,24.560,24.560,24.400,24.480,29883216.0,1220800
2024-4-2,10:00,24.480,24.540,24.420,24.480,10094752.0,412500
2024-4-2,10:05,24.480,24.610,24.470,24.520,17542408.0,715300
2024-4-2,10:10,24.520,24.520,24.390,24.400,19709834.0,806200
2024-4-2,10:15,24.450,24.810,24.410,24.800,34255148.0,1392500
2024-4-2,10:20,24.810,24.990,24.660,24.930,45581220.0,1832500
2024-4-2,10:25,24.930,24.960,24.800,24.800,33871916.0,1360200
2024-4-2,10:30,24.800,24.800,24.610,24.640,18837598.0,762700
2024-4-2,10:35,24.620,24.660,24.480,24.510,18388116.0,748100
2024-4-2,10:40,24.500,24.650,24.500,24.560,14245865.0,579900
2024-4-2,10:45,24.550,24.700,24.540,24.680,9009457.0,366100
