日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,199.500,202.250,198.000,202.040,98653776.0,492700
2024-7-1,09:40,202.000,203.300,200.400,200.900,57712312.0,285700
2024-7-1,09:45,200.780,201.990,199.810,200.790,37764692.0,188200
2024-7-1,09:50,200.780,202.250,200.000,200.000,54840336.0,272600
2024-7-1,09:55,200.000,201.970,199.900,201.000,36223268.0,180000
2024-7-1,10:00,201.000,202.300,200.820,202.300,29497628.0,146400
2024-7-1,10:05,202.370,202.950,202.000,202.770,49644560.0,245000
2024-7-1,10:10,202.720,203.240,201.500,202.180,43797344.0,216300
2024-7-1,10:15,202.190,202.200,200.010,200.760,29498686.0,146700
2024-7-1,10:20,200.760,200.760,199.500,199.900,20700232.0,103500
2024-7-1,10:25,200.070,200.490,199.530,200.000,15450139.0,77300
2024-7-1,10:30,200.000,201.000,199.810,200.980,16474547.0,82200
2024-7-1,10:35,200.980,201.000,199.880,199.920,12036468.0,60100
2024-7-1,10:40,200.130,200.130,199.260,199.960,21865304.0,109500
2024-7-1,10:45,199.960,199.980,198.660,198.960,40781472.0,204700
2024-7-1,10:50,198.900,199.220,198.500,199.210,15992483.0,80500
2024-7-1,10:55,199.000,199.000,198.310,198.440,16770910.0,84400
2024-7-1,11:00,198.610,198.610,197.690,197.960,23766410.0,120000
2024-7-1,11:05,197.960,198.180,197.220,197.460,22696318.0,115000
2024-7-1,11:10,197.410,197.940,197.200,197.450,9484464.0,48000
2024-7-1,11:15,197.300,198.250,197.300,197.900,10470729.0,52900
2024-7-1,11:20,198.120,198.780,197.930,198.710,8983671.0,45300
2024-7-1,11:25,198.760,198.770,197.800,197.950,9263944.0,46700
2024-7-1,11:30,197.930,198.000,197.610,197.610,7392831.0,37400
2024-7-1,13:05,197.660,197.990,197.000,197.990,37809220.0,191500
2024-7-1,13:10,198.000,199.000,197.950,197.970,9301862.0,46900
2024-7-1,13:15,197.710,198.230,197.580,198.220,7663074.0,38800
2024-7-1,13:20,198.220,200.970,198.200,200.900,23474140.0,117200
2024-7-1,13:25,200.900,202.600,200.690,202.160,44730228.0,221700
2024-7-1,13:30,202.150,202.150,201.100,201.920,12194783.0,60400
2024-7-1,13:35,201.960,203.490,201.820,203.090,49665304.0,244800
2024-7-1,13:40,202.760,202.810,201.270,201.690,13591219.0,67300
2024-7-1,13:45,201.700,202.110,201.700,201.810,13235990.0,65500
2024-7-1,13:50,201.810,202.490,201.290,202.490,10732557.0,53200
2024-7-1,13:55,202.500,203.000,202.020,202.590,15575191.0,76900
2024-7-1,14:00,202.590,203.420,202.450,203.400,27416284.0,135100
2024-7-1,14:05,203.420,203.880,203.000,203.880,33869548.0,166400
2024-7-1,14:10,203.880,205.000,203.880,205.000,43914892.0,215000
2024-7-1,14:15,205.000,205.500,204.150,205.400,39908892.0,194600
2024-7-1,14:20,205.360,205.430,203.640,203.730,28267580.0,138200
2024-7-1,14:25,203.780,204.110,203.500,203.880,23202652.0,113900
2024-7-1,14:30,204.040,204.430,203.640,204.230,18377364.0,90000
2024-7-1,14:35,204.240,204.430,203.650,203.820,8957154.0,43900
2024-7-1,14:40,203.810,204.380,203.580,204.340,16927196.0,83100
2024-7-1,14:45,204.380,205.100,204.080,205.000,28277068.0,138200
2024-7-1,14:50,205.000,205.090,204.400,204.700,18687436.0,91300
2024-7-1,14:55,204.700,204.890,204.420,204.880,24372648.0,119100
2024-7-1,15:00,204.830,204.880,204.800,204.840,31802568.0,155200
2024-7-2,09:35,204.000,204.700,201.500,202.000,99828936.0,492200
2024-7-2,09:40,201.840,201.900,199.280,200.470,118392016.0,589900
2024-7-2,09:45,200.470,202.340,199.050,201.590,58757596.0,293200
2024-7-2,09:50,201.800,202.800,199.810,200.000,39514636.0,196700
2024-7-2,09:55,199.730,201.090,199.680,200.860,44246212.0,220900
2024-7-2,10:00,200.900,201.100,200.350,201.020,14266129.0,71100
2024-7-2,10:05,200.950,200.950,199.910,199.910,27203246.0,135800
2024-7-2,10:10,199.890,202.000,199.890,202.000,30634472.0,152600
2024-7-2,10:15,201.990,202.500,201.380,201.800,21769530.0,107700
2024-7-2,10:20,201.800,202.680,201.140,202.300,14913134.0,73800
2024-7-2,10:25,202.090,203.360,202.000,203.000,18300144.0,90300
2024-7-2,10:30,202.990,203.060,202.020,202.740,14070655.0,69400
2024-7-2,10:35,202.800,202.800,201.490,201.550,14353366.0,71100
2024-7-2,10:40,201.560,201.560,200.970,201.530,17283892.0,85900
2024-7-2,10:45,201.010,201.770,200.030,200.030,19815984.0,98700
2024-7-2,10:50,200.330,200.500,199.570,200.000,27958268.0,139800
2024-7-2,10:55,200.500,200.500,199.000,199.020,53815140.0,269900
2024-7-2,11:00,199.000,199.650,199.000,199.520,37811188.0,189900
2024-7-2,11:05,199.230,199.690,199.010,199.200,22105212.0,110900
2024-7-2,11:10,199.200,199.750,198.290,198.390,29853348.0,150000
2024-7-2,11:15,198.510,199.710,198.240,198.840,14943890.0,75300
2024-7-2,11:20,199.160,199.160,198.500,198.720,14745156.0,74200
2024-7-2,11:25,198.600,198.710,198.020,198.020,24947448.0,125800
