日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,14.380,14.710,14.330,14.690,597133376.0,41096400
2024-7-1,09:40,14.690,14.770,14.570,14.700,226525984.0,15432900
2024-7-1,09:45,14.700,14.730,14.620,14.650,147142080.0,10020400
2024-7-1,09:50,14.650,14.790,14.600,14.660,122131360.0,8305200
2024-7-1,09:55,14.650,14.660,14.470,14.600,90184856.0,6189800
2024-7-1,10:00,14.600,14.660,14.500,14.620,56314692.0,3861200
2024-7-1,10:05,14.620,14.650,14.580,14.600,34881692.0,2388100
2024-7-1,10:10,14.600,14.660,14.520,14.570,37709320.0,2583700
2024-7-1,10:15,14.570,14.570,14.460,14.460,31614920.0,2179300
2024-7-1,10:20,14.460,14.500,14.400,14.400,43973768.0,3044300
2024-7-1,10:25,14.410,14.490,14.400,14.450,25998872.0,1801800
2024-7-1,10:30,14.440,14.550,14.430,14.550,25157720.0,1735000
2024-7-1,10:35,14.550,14.560,14.460,14.460,19345644.0,1334900
2024-7-1,10:40,14.460,14.470,14.420,14.450,14377824.0,995400
2024-7-1,10:45,14.450,14.550,14.440,14.510,13973040.0,963400
2024-7-1,10:50,14.500,14.530,14.460,14.500,10130945.0,698900
2024-7-1,10:55,14.500,14.500,14.450,14.470,9738224.0,672700
2024-7-1,11:00,14.480,14.480,14.420,14.460,13163180.0,911400
2024-7-1,11:05,14.450,14.490,14.420,14.490,11156957.0,772300
2024-7-1,11:10,14.470,14.490,14.430,14.430,9956177.0,689300
2024-7-1,11:15,14.430,14.550,14.430,14.520,20475876.0,1412000
2024-7-1,11:20,14.510,14.510,14.470,14.480,13117726.0,905600
2024-7-1,11:25,14.470,14.480,14.440,14.470,10609757.0,733700
2024-7-1,11:30,14.480,14.480,14.380,14.400,33177614.0,2302900
2024-7-1,13:05,14.400,14.450,14.360,14.430,25171716.0,1749700
2024-7-1,13:10,14.430,14.460,14.380,14.390,13493560.0,936100
2024-7-1,13:15,14.380,14.440,14.380,14.430,8972967.0,622600
2024-7-1,13:20,14.420,14.500,14.410,14.480,19927408.0,1376900
2024-7-1,13:25,14.490,14.730,14.480,14.730,64448792.0,4411400
2024-7-1,13:30,14.730,14.850,14.660,14.790,82330376.0,5574600
2024-7-1,13:35,14.780,14.960,14.760,14.850,74792656.0,5031000
2024-7-1,13:40,14.830,14.830,14.670,14.760,22665102.0,1537900
2024-7-1,13:45,14.760,14.760,14.710,14.730,18472256.0,1253000
2024-7-1,13:50,14.730,14.750,14.660,14.750,19526430.0,1327800
2024-7-1,13:55,14.750,14.780,14.690,14.780,21512268.0,1458700
2024-7-1,14:00,14.770,14.960,14.770,14.960,36621964.0,2465200
2024-7-1,14:05,14.960,14.960,14.840,14.860,33634464.0,2258400
2024-7-1,14:10,14.840,15.180,14.830,15.000,108169160.0,7189700
2024-7-1,14:15,15.000,15.070,14.940,15.040,36813232.0,2454800
