日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,39.860,39.880,38.750,39.050,129243664.0,3305200
2024-7-1,09:40,39.040,39.700,39.040,39.350,72471552.0,1836900
2024-7-1,09:45,39.340,39.370,38.800,39.060,51003700.0,1308600
2024-7-1,09:50,39.110,39.300,38.860,39.010,39784616.0,1019600
2024-7-1,09:55,39.020,39.020,38.780,38.800,38441508.0,989400
2024-7-1,10:00,38.800,38.920,38.570,38.920,51212808.0,1321800
2024-7-1,10:05,39.010,39.310,38.820,38.900,34084600.0,873600
2024-7-1,10:10,38.890,38.940,38.660,38.670,26944422.0,694700
2024-7-1,10:15,38.650,38.650,38.250,38.290,82155264.0,2135700
2024-7-1,10:20,38.350,38.460,38.100,38.320,59505444.0,1552400
2024-7-1,10:25,38.320,38.440,38.200,38.310,35190252.0,918800
2024-7-1,10:30,38.300,38.570,38.290,38.570,22291904.0,581000
2024-7-1,10:35,38.580,38.590,38.300,38.340,23118260.0,601700
2024-7-1,10:40,38.340,38.350,38.200,38.200,17064718.0,445800
2024-7-1,10:45,38.200,38.490,38.200,38.490,17704822.0,461700
2024-7-1,10:50,38.500,38.510,38.210,38.260,17859272.0,465500
2024-7-1,10:55,38.250,38.300,38.100,38.200,26209740.0,686200
2024-7-1,11:00,38.140,38.190,37.980,38.020,52613020.0,1382700
2024-7-1,11:05,38.100,38.100,37.800,37.940,55258000.0,1456400
2024-7-1,11:10,37.940,37.990,37.800,37.850,33559612.0,886200
2024-7-1,11:15,37.840,37.930,37.720,37.900,28946596.0,765100
2024-7-1,11:20,37.910,38.100,37.860,38.080,14740764.0,388400
2024-7-1,11:25,38.060,38.220,38.010,38.220,13382193.0,351100
2024-7-1,11:30,38.230,38.280,38.160,38.280,12043864.0,315100
2024-7-1,13:05,38.240,38.540,37.940,38.280,19465516.0,509300
2024-7-1,13:10,38.320,38.500,38.100,38.160,9983998.0,261000
2024-7-1,13:15,38.200,38.290,38.130,38.240,9391302.0,245700
2024-7-1,13:20,38.250,38.600,38.190,38.490,24026156.0,625000
2024-7-1,13:25,38.490,38.490,38.340,38.450,9497433.0,247200
2024-7-1,13:30,38.490,38.510,38.380,38.420,13913802.0,361900
2024-7-1,13:35,38.400,38.680,38.400,38.400,17484402.0,453800
2024-7-1,13:40,38.400,38.400,38.230,38.320,15794617.0,412300
2024-7-1,13:45,38.310,38.540,38.310,38.510,13435433.0,349400
2024-7-1,13:50,38.520,38.700,38.410,38.700,15399934.0,399800
2024-7-1,13:55,38.700,38.880,38.670,38.700,19634044.0,506300
2024-7-1,14:00,38.730,38.800,38.610,38.700,10401523.0,268700
2024-7-1,14:05,38.700,38.830,38.670,38.690,13976807.0,360700
2024-7-1,14:10,38.720,39.000,38.720,38.920,24449296.0,628300
2024-7-1,14:15,38.920,38.950,38.760,38.920,15341483.0,394600
2024-7-1,14:20,38.870,39.000,38.730,38.730,16036819.0,412300
2024-7-1,14:25,38.730,38.810,38.710,38.720,9290074.0,239800
2024-7-1,14:30,38.730,38.810,38.620,38.780,13094715.0,338200
2024-7-1,14:35,38.770,38.950,38.710,38.910,10808437.0,278300
2024-7-1,14:40,38.890,39.100,38.880,39.030,22626178.0,579800
2024-7-1,14:45,39.020,39.090,38.970,39.080,14459997.0,370500
2024-7-1,14:50,39.080,39.160,39.050,39.130,19729028.0,504500
2024-7-1,14:55,39.130,39.150,39.030,39.130,20418254.0,522100
2024-7-1,15:00,39.130,39.370,39.080,39.200,27751754.0,708200
2024-7-2,09:35,39.600,40.090,39.200,39.520,132329616.0,3335600
2024-7-2,09:40,39.520,39.560,38.650,38.900,45603604.0,1169400
2024-7-2,09:45,38.920,38.920,38.580,38.680,32732246.0,845100
2024-7-2,09:50,38.680,38.680,38.300,38.390,48573284.0,1262900
2024-7-2,09:55,38.370,38.970,38.350,38.820,25392924.0,656900
2024-7-2,10:00,38.820,38.900,38.510,38.600,23265132.0,600700
2024-7-2,10:05,38.630,38.650,38.530,38.620,12752757.0,330400
2024-7-2,10:10,38.610,39.100,38.610,38.860,16730245.0,430900
2024-7-2,10:15,38.880,39.010,38.820,38.870,12782232.0,328400
2024-7-2,10:20,38.880,38.880,38.700,38.780,9169085.0,236400
2024-7-2,10:25,38.780,38.920,38.750,38.860,8726067.0,224700
2024-7-2,10:30,38.880,39.000,38.800,38.900,13889422.0,357200
2024-7-2,10:35,38.890,38.910,38.680,38.690,15589283.0,401800
2024-7-2,10:40,38.700,38.780,38.690,38.730,8675905.0,224000
2024-7-2,10:45,38.710,38.800,38.600,38.610,15275793.0,394800
2024-7-2,10:50,38.580,38.670,38.530,38.630,9766260.0,253100
2024-7-2,10:55,38.620,38.630,38.520,38.560,9190434.0,238200
2024-7-2,11:00,38.550,38.660,38.480,38.660,13661284.0,354600
2024-7-2,11:05,38.670,38.670,38.450,38.490,7000765.0,181700
2024-7-2,11:10,38.450,38.490,38.330,38.360,14242349.0,371100
2024-7-2,11:15,38.350,38.460,38.320,38.410,9311168.0,242500
2024-7-2,11:20,38.410,38.530,38.360,38.360,7639258.0,198700
2024-7-2,11:25,38.370,38.410,38.340,38.360,8154476.5,212500
2024-7-2,11:30,38.390,38.400,38.320,38.380,9410027.0,245300
2024-7-2,13:05,38.350,38.470,38.260,38.420,12853609.0,335200
2024-7-2,13:10,38.410,38.480,38.370,38.370,5275668.0,137300
2024-7-2,13:15,38.370,38.600,38.370,38.440,8604858.0,223500
2024-7-2,13:20,38.430,38.500,38.380,38.430,6227483.0,162000
2024-7-2,13:25,38.430,38.540,38.420,38.430,4166556.0,108300
2024-7-2,13:30,38.460,38.500,38.340,38.500,11979127.0,312000
2024-7-2,13:35,38.510,38.510,38.400,38.480,3328482.0,86600
2024-7-2,13:40,38.470,38.510,38.400,38.470,5927596.0,154100
2024-7-2,13:45,38.460,38.630,38.420,38.580,9086309.0,235600
2024-7-2,13:50,38.580,38.680,38.550,38.580,7124045.0,184500
2024-7-2,13:55,38.570,38.860,38.540,38.750,25104422.0,647900
2024-7-2,14:00,38.720,38.750,38.610,38.650,7134036.0,184400
2024-7-2,14:05,38.650,38.740,38.510,38.520,6769163.0,175200
2024-7-2,14:10,38.510,38.610,38.460,38.550,8832315.0,229300
2024-7-2,14:15,38.550,38.550,38.460,38.500,6583224.0,170900
2024-7-2,14:20,38.490,38.500,38.410,38.450,6519460.0,169500
2024-7-2,14:25,38.450,38.470,38.380,38.450,10512593.0,273600
2024-7-2,14:30,38.430,38.560,38.400,38.540,7651671.0,199000
2024-7-2,14:35,38.510,38.540,38.350,38.360,13466516.0,350500
2024-7-2,14:40,38.360,38.490,38.360,38.420,9905602.0,257900
2024-7-2,14:45,38.420,38.420,38.330,38.340,10979689.0,286100
2024-7-2,14:50,38.330,38.500,38.320,38.480,17926662.0,466400
2024-7-2,14:55,38.490,38.500,38.410,38.440,18729996.0,487100
2024-7-2,15:00,38.440,38.450,38.330,38.450,22448496.0,584200
2024-7-3,09:35,38.500,39.170,38.450,38.920,96350208.0,2472600
2024-7-3,09:40,38.920,39.130,38.440,38.560,61063980.0,1574700
2024-7-3,09:45,38.550,38.650,38.280,38.280,27865020.0,724600
2024-7-3,09:50,38.290,38.290,37.950,38.110,42784288.0,1123300
2024-7-3,09:55,38.090,38.590,38.000,38.500,27205102.0,709400
2024-7-3,10:00,38.500,38.660,38.270,38.290,22399760.0,581800
2024-7-3,10:05,38.300,38.560,38.180,38.180,18054292.0,470300
2024-7-3,10:10,38.170,38.440,38.160,38.380,15772269.0,412300
2024-7-3,10:15,38.410,38.410,38.260,38.340,11175906.0,291600
2024-7-3,10:20,38.330,38.410,38.220,38.220,11116651.0,290000
2024-7-3,10:25,38.240,38.310,38.080,38.110,14396016.0,376700
2024-7-3,10:30,38.100,38.410,38.100,38.410,15707652.0,411200
2024-7-3,10:35,38.390,38.490,38.230,38.240,19207288.0,500400
2024-7-3,10:40,38.240,38.300,38.150,38.180,13536100.0,354000
2024-7-3,10:45,38.220,38.260,38.120,38.130,16629523.0,435300
2024-7-3,10:50,38.120,38.150,38.000,38.090,23355752.0,613900
2024-7-3,10:55,38.090,38.130,38.000,38.010,12198919.0,320500
2024-7-3,11:00,38.030,38.100,37.910,38.100,20336756.0,535200
2024-7-3,11:05,38.040,38.180,38.020,38.060,10181110.0,267300
2024-7-3,11:10,38.080,38.130,38.020,38.120,9792088.0,257200
2024-7-3,11:15,38.120,38.230,38.020,38.020,8511817.0,223200
2024-7-3,11:20,38.030,38.170,38.020,38.140,7991707.0,209700
2024-7-3,11:25,38.140,38.310,38.140,38.200,13463384.0,352200
2024-7-3,11:30,38.200,38.450,38.170,38.350,15449809.0,402600
2024-7-3,13:05,38.360,38.360,38.080,38.250,15395694.0,403200
2024-7-3,13:10,38.220,38.320,38.150,38.290,6924173.0,181200
2024-7-3,13:15,38.310,38.330,38.180,38.260,9107744.0,238100
2024-7-3,13:20,38.290,38.360,38.220,38.360,9549923.0,249500
2024-7-3,13:25,38.360,38.380,38.100,38.210,11593402.0,303300
2024-7-3,13:30,38.200,38.250,38.130,38.250,11376952.0,297800
2024-7-3,13:35,38.250,38.380,38.230,38.290,15348334.0,400900
2024-7-3,13:40,38.290,38.360,38.240,38.310,5735832.0,149700
2024-7-3,13:45,38.300,38.370,38.240,38.330,5408141.0,141100
2024-7-3,13:50,38.290,38.340,38.230,38.260,5594023.0,146100
2024-7-3,13:55,38.240,38.290,38.210,38.220,4020309.0,105100
2024-7-3,14:00,38.220,38.260,38.180,38.220,5041848.0,131900
2024-7-3,14:05,38.230,38.300,38.210,38.240,4930159.0,128900
2024-7-3,14:10,38.240,38.330,38.190,38.190,7974623.0,208400
2024-7-3,14:15,38.180,38.200,38.150,38.180,3886398.0,101800
2024-7-3,14:20,38.170,38.200,38.110,38.160,6124884.0,160500
2024-7-3,14:25,38.150,38.160,38.110,38.130,5022107.0,131700
2024-7-3,14:30,38.130,38.250,38.130,38.160,10070871.0,263700
2024-7-3,14:35,38.160,38.190,38.100,38.140,8970930.0,235200
2024-7-3,14:40,38.130,38.130,38.030,38.120,10310023.0,270800
2024-7-3,14:45,38.130,38.150,38.080,38.110,8676033.0,227600
2024-7-3,14:50,38.110,38.200,38.100,38.190,10214096.0,267800
2024-7-3,14:55,38.180,38.190,38.120,38.190,13407910.0,351300
2024-7-3,15:00,38.200,38.200,38.150,38.150,15759784.0,412900
2024-7-4,09:35,38.340,38.880,38.220,38.240,63999576.0,1660800
2024-7-4,09:40,38.210,38.750,38.210,38.660,55560892.0,1440500
2024-7-4,09:45,38.660,38.920,38.440,38.770,51666888.0,1333800
2024-7-4,09:50,38.770,38.930,38.410,38.860,31235412.0,807200
2024-7-4,09:55,38.880,39.550,38.860,39.240,109300288.0,2784800
2024-7-4,10:00,39.240,39.440,38.900,38.900,53622424.0,1366200
2024-7-4,10:05,38.900,39.000,38.680,38.730,31464472.0,809400
2024-7-4,10:10,38.730,38.780,38.650,38.660,17272636.0,446000
2024-7-4,10:15,38.650,38.830,38.650,38.740,13727706.0,354600
2024-7-4,10:20,38.760,38.810,38.430,38.520,14706339.0,381000
2024-7-4,10:25,38.520,38.550,38.400,38.480,9648012.0,250800
2024-7-4,10:30,38.480,38.560,38.460,38.490,5642161.0,146500
2024-7-4,10:35,38.480,38.600,38.470,38.490,9669214.0,251000
2024-7-4,10:40,38.470,38.510,38.380,38.480,8256966.0,214800
2024-7-4,10:45,38.460,38.470,38.400,38.430,4795832.0,124800
2024-7-4,10:50,38.440,38.550,38.420,38.440,6100451.0,158600
2024-7-4,10:55,38.400,38.740,38.400,38.640,7490875.0,194000
2024-7-4,11:00,38.630,38.700,38.530,38.620,3150635.0,81600
2024-7-4,11:05,38.640,38.690,38.510,38.510,3558824.0,92200
2024-7-4,11:10,38.510,38.680,38.510,38.630,3560147.0,92200
2024-7-4,11:15,38.620,38.630,38.540,38.540,2430178.0,63000
2024-7-4,11:20,38.520,38.550,38.490,38.490,4894934.0,127100
2024-7-4,11:25,38.500,38.550,38.460,38.500,2433119.0,63200
2024-7-4,11:30,38.480,38.540,38.480,38.520,2768651.0,71900
2024-7-4,13:05,38.520,38.540,38.430,38.440,6173027.0,160400
2024-7-4,13:10,38.480,38.580,38.450,38.510,5517520.0,143200
2024-7-4,13:15,38.510,38.680,38.510,38.630,4839644.0,125400
2024-7-4,13:20,38.630,38.680,38.520,38.590,12745478.0,330200
2024-7-4,13:25,38.590,38.600,38.460,38.480,6333350.0,164300
2024-7-4,13:30,38.480,38.520,38.300,38.390,17980332.0,468800
2024-7-4,13:35,38.390,38.390,38.260,38.270,10898924.0,284400
2024-7-4,13:40,38.270,38.380,38.260,38.310,8934628.0,233100
2024-7-4,13:45,38.320,38.350,38.180,38.190,8207932.0,214500
2024-7-4,13:50,38.180,38.360,38.160,38.310,12137512.0,317300
2024-7-4,13:55,38.320,38.320,38.230,38.240,4434348.0,115900
2024-7-4,14:00,38.250,38.270,38.200,38.210,7127483.0,186400
2024-7-4,14:05,38.200,38.250,38.150,38.170,6315315.0,165300
2024-7-4,14:10,38.170,38.200,38.100,38.160,8405722.0,220400
2024-7-4,14:15,38.160,38.300,38.130,38.200,11930670.0,312300
2024-7-4,14:20,38.230,38.390,38.200,38.340,13999636.0,365500
2024-7-4,14:25,38.350,38.350,38.180,38.300,6822199.0,178500
2024-7-4,14:30,38.300,38.300,38.210,38.260,4650694.0,121600
2024-7-4,14:35,38.250,38.330,38.220,38.310,9479558.0,247600
2024-7-4,14:40,38.310,38.400,38.280,38.390,8331750.0,217300
2024-7-4,14:45,38.390,38.420,38.310,38.320,8095204.0,211000
2024-7-4,14:50,38.310,38.330,38.230,38.270,9058035.0,236600
2024-7-4,14:55,38.270,38.330,38.240,38.330,18588228.0,485500
2024-7-4,15:00,38.330,38.330,38.260,38.300,21111578.0,551300
2024-7-5,09:35,38.300,38.300,37.400,37.400,56411640.0,1497000
2024-7-5,09:40,37.420,37.550,37.180,37.320,48275184.0,1292400
2024-7-5,09:45,37.310,37.630,37.030,37.510,37070944.0,993000
2024-7-5,09:50,37.590,37.720,37.330,37.350,23030196.0,613900
2024-7-5,09:55,37.380,37.580,37.360,37.450,18176194.0,485200
2024-7-5,10:00,37.440,37.450,37.050,37.130,34109312.0,917000
2024-7-5,10:05,37.130,37.190,36.930,36.970,42186640.0,1139100
2024-7-5,10:10,36.970,37.300,36.900,37.240,34730496.0,937300
2024-7-5,10:15,37.240,37.240,36.870,36.920,47238920.0,1276100
2024-7-5,10:20,36.940,37.240,36.940,37.240,19332812.0,521600
2024-7-5,10:25,37.240,37.300,37.100,37.180,19400636.0,521700
2024-7-5,10:30,37.150,37.250,37.050,37.050,14553724.0,392100
2024-7-5,10:35,37.050,37.230,37.040,37.130,14342181.0,386000
2024-7-5,10:40,37.130,37.250,37.090,37.190,13593137.0,365800
2024-7-5,10:45,37.220,37.300,37.140,37.220,11691204.0,314000
2024-7-5,10:50,37.170,37.310,37.090,37.300,14612332.0,392800
2024-7-5,10:55,37.300,37.400,37.290,37.310,10275611.0,275100
2024-7-5,11:00,37.310,37.380,37.150,37.150,7869667.0,211300
2024-7-5,11:05,37.100,37.220,37.100,37.120,8078002.0,217400
2024-7-5,11:10,37.130,37.210,37.120,37.140,7482737.0,201400
2024-7-5,11:15,37.140,37.230,37.110,37.220,6008943.0,161700
2024-7-5,11:20,37.220,37.380,37.170,37.340,10512469.0,281800
2024-7-5,11:25,37.330,37.500,37.330,37.460,12974343.0,346500
2024-7-5,11:30,37.460,37.570,37.370,37.370,7564153.0,201900
2024-7-5,13:05,37.350,37.570,37.330,37.540,10310080.0,275400
2024-7-5,13:10,37.550,37.980,37.530,37.980,16681324.0,441600
2024-7-5,13:15,37.910,38.070,37.710,37.740,13236109.0,349000
2024-7-5,13:20,37.750,37.950,37.750,37.830,6872616.0,181500
2024-7-5,13:25,37.820,37.880,37.780,37.840,6535717.0,172800
2024-7-5,13:30,37.840,37.900,37.810,37.890,6244494.0,165000
2024-7-5,13:35,37.890,38.080,37.890,38.000,8772988.0,230800
2024-7-5,13:40,38.000,38.110,37.910,38.110,6610944.0,173900
2024-7-5,13:45,38.120,38.220,38.100,38.180,12102832.0,317100
2024-7-5,13:50,38.140,38.190,38.050,38.120,9281710.0,243400
2024-7-5,13:55,38.130,38.170,37.900,37.920,13040414.0,342600
2024-7-5,14:00,37.930,37.990,37.850,37.910,6541346.0,172500
2024-7-5,14:05,37.910,37.990,37.810,37.990,7285530.0,192300
2024-7-5,14:10,38.000,38.030,37.930,37.960,5648481.0,148700
2024-7-5,14:15,37.990,37.990,37.910,37.940,5705737.0,150300
2024-7-5,14:20,37.920,37.950,37.890,37.910,4424687.0,116700
2024-7-5,14:25,37.900,37.950,37.900,37.910,5563988.0,146700
2024-7-5,14:30,37.910,37.950,37.790,37.790,5212187.0,137600
2024-7-5,14:35,37.790,37.900,37.790,37.840,3194126.0,84400
2024-7-5,14:40,37.840,38.030,37.830,38.030,8782505.0,231600
2024-7-5,14:45,38.020,38.030,37.900,37.950,8569208.0,225700
2024-7-5,14:50,37.950,38.050,37.940,38.030,10455668.0,275100
2024-7-5,14:55,38.010,38.040,38.000,38.010,13268093.0,349000
2024-7-5,15:00,38.010,38.040,37.960,37.980,15362195.0,404300
2024-7-8,09:35,38.170,38.700,38.040,38.230,55238152.0,1436600
2024-7-8,09:40,38.230,38.280,37.950,38.120,24996806.0,655500
2024-7-8,09:45,38.110,38.230,38.090,38.120,24462070.0,641200
2024-7-8,09:50,38.110,38.110,37.770,37.940,33072788.0,871400
2024-7-8,09:55,37.940,38.170,37.940,38.160,28748068.0,755100
2024-7-8,10:00,38.160,38.260,38.040,38.070,21054800.0,552000
2024-7-8,10:05,38.060,38.290,38.050,38.260,16812532.0,440300
2024-7-8,10:10,38.270,38.550,38.190,38.200,28024108.0,730100
2024-7-8,10:15,38.220,38.230,37.890,37.910,21656204.0,569800
2024-7-8,10:20,37.910,37.950,37.800,37.890,16190505.0,427400
2024-7-8,10:25,37.890,38.210,37.890,38.180,9142360.0,240400
2024-7-8,10:30,38.180,38.200,38.020,38.070,9729655.0,255300
2024-7-8,10:35,38.090,38.200,38.030,38.130,9054181.0,237500
2024-7-8,10:40,38.120,38.240,37.980,38.000,14264265.0,374400
2024-7-8,10:45,37.990,38.150,37.980,38.140,6754596.0,177600
2024-7-8,10:50,38.140,38.160,38.000,38.090,11768701.0,309100
2024-7-8,10:55,38.090,38.150,38.090,38.110,11846816.0,310800
2024-7-8,11:00,38.110,38.290,38.080,38.280,11893226.0,311500
2024-7-8,11:05,38.280,38.610,38.260,38.610,31512632.0,819900
2024-7-8,11:10,38.620,39.110,38.570,39.100,65189360.0,1678200
2024-7-8,11:15,39.110,39.360,39.020,39.090,77467656.0,1978200
2024-7-8,11:20,39.090,39.120,38.800,38.800,35131248.0,901300
2024-7-8,11:25,38.810,39.100,38.740,39.010,25408772.0,652400
2024-7-8,11:30,39.000,39.160,38.900,39.160,22883674.0,585700
2024-7-8,13:05,39.180,39.180,38.930,39.000,26221926.0,672200
2024-7-8,13:10,38.990,39.030,38.930,39.010,14385788.0,369000
2024-7-8,13:15,39.010,39.060,38.990,39.050,15618948.0,400300
2024-7-8,13:20,39.050,39.220,38.970,39.150,23601498.0,603800
2024-7-8,13:25,39.140,39.140,39.070,39.120,12534591.0,320500
