日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-7-1,09:35,38.800,39.600,38.570,39.550,16162144.0,413400
2024-7-1,09:40,39.580,39.780,39.060,39.100,13929084.0,353100
2024-7-1,09:45,39.070,39.360,39.070,39.250,7358435.0,187800
2024-7-1,09:50,39.240,39.360,38.970,38.970,11654616.0,297700
2024-7-1,09:55,38.920,39.170,38.880,39.030,3599918.0,92400
2024-7-1,10:00,39.030,39.330,38.960,39.330,1471808.0,37500
2024-7-1,10:05,39.330,39.500,39.170,39.500,3015610.0,76700
2024-7-1,10:10,39.500,39.590,39.120,39.230,3266984.0,82900
2024-7-1,10:15,39.280,39.280,39.000,39.010,3684158.0,94200
2024-7-1,10:20,39.000,39.070,38.890,39.000,2701289.0,69300
2024-7-1,10:25,39.030,39.030,38.800,38.800,2386627.0,61400
2024-7-1,10:30,38.800,38.920,38.720,38.920,2543342.0,65600
2024-7-1,10:35,38.920,38.920,38.750,38.750,1638042.0,42200
2024-7-1,10:40,38.750,38.800,38.660,38.760,2166169.0,56000
2024-7-1,10:45,38.760,39.040,38.760,39.000,1550075.0,39900
2024-7-1,10:50,39.000,39.000,38.880,38.890,1162094.0,29800
2024-7-1,10:55,38.840,38.950,38.790,38.910,909926.0,23400
2024-7-1,11:00,38.910,38.910,38.780,38.850,1806414.0,46500
2024-7-1,11:05,38.760,38.790,38.690,38.730,1761218.0,45500
2024-7-1,11:10,38.730,38.750,38.660,38.670,1513976.0,39100
2024-7-1,11:15,38.680,38.710,38.570,38.620,1985819.0,51500
2024-7-1,11:20,38.620,38.750,38.550,38.750,2381534.0,61700
2024-7-1,11:25,38.750,38.800,38.700,38.700,1271833.0,32800
2024-7-1,11:30,38.650,38.780,38.650,38.740,575660.0,14900
2024-7-1,13:05,38.740,38.740,38.560,38.700,1397727.0,36100
2024-7-1,13:10,38.690,38.740,38.570,38.670,1734221.0,44900
2024-7-1,13:15,38.590,38.820,38.580,38.820,914482.0,23600
2024-7-1,13:20,38.820,39.200,38.820,39.200,2310814.0,59300
2024-7-1,13:25,39.180,39.180,38.940,39.090,2680475.0,68600
2024-7-1,13:30,39.260,39.300,39.150,39.300,1917996.0,48900
2024-7-1,13:35,39.360,39.640,39.280,39.290,5521655.0,139800
2024-7-1,13:40,39.290,39.450,39.200,39.390,1739381.0,44300
2024-7-1,13:45,39.390,39.390,39.300,39.300,1211234.0,30800
2024-7-1,13:50,39.280,39.390,39.250,39.390,1583470.0,40300
2024-7-1,13:55,39.390,39.640,39.350,39.640,2416708.0,61200
2024-7-1,14:00,39.650,39.790,39.520,39.750,4176623.0,105300
2024-7-1,14:05,39.750,39.970,39.720,39.830,4711275.0,118200
2024-7-1,14:10,39.830,40.400,39.790,40.400,11648682.0,290300
2024-7-1,14:15,40.400,40.420,40.030,40.180,4729371.0,117600
2024-7-1,14:20,40.180,40.350,39.850,39.900,5071477.0,126600
2024-7-1,14:25,39.900,40.000,39.830,39.910,1815820.0,45500
2024-7-1,14:30,39.820,39.960,39.810,39.850,2434096.0,61100
2024-7-1,14:35,39.850,39.930,39.850,39.890,1870774.0,46900
2024-7-1,14:40,39.890,39.970,39.860,39.970,1697428.0,42500
2024-7-1,14:45,39.960,40.020,39.860,40.020,2507070.0,62700
2024-7-1,14:50,40.020,40.060,39.900,39.960,4190022.0,104900
2024-7-1,14:55,39.960,39.970,39.850,39.920,3743273.0,93800
2024-7-1,15:00,39.910,39.940,39.910,39.910,3699670.0,92600
2024-7-2,09:35,39.850,40.200,39.390,39.910,10343640.0,259800
2024-7-2,09:40,39.910,40.300,39.830,40.260,11114427.0,277200
2024-7-2,09:45,40.260,40.290,39.820,39.890,8245621.0,206000
2024-7-2,09:50,39.820,39.820,39.200,39.220,11269465.0,285300
2024-7-2,09:55,39.210,39.240,39.000,39.230,12966071.0,331400
2024-7-2,10:00,39.230,39.330,39.060,39.110,6079580.0,155300
2024-7-2,10:05,39.080,39.080,38.780,38.960,9202840.0,236400
2024-7-2,10:10,38.990,39.300,38.880,38.900,4626966.0,118800
2024-7-2,10:15,39.070,39.210,38.990,39.030,5303701.0,135700
2024-7-2,10:20,39.030,39.390,38.980,39.290,2047712.0,52300
2024-7-2,10:25,39.290,39.440,39.110,39.400,2683850.0,68200
2024-7-2,10:30,39.400,39.610,39.200,39.610,4029753.0,102200
2024-7-2,10:35,39.450,39.590,39.180,39.210,2203775.0,56100
2024-7-2,10:40,39.180,39.180,39.020,39.020,1827584.0,46700
2024-7-2,10:45,39.020,39.080,38.920,38.950,3186655.0,81700
2024-7-2,10:50,38.950,39.020,38.930,38.930,2871342.0,73700
2024-7-2,10:55,38.990,38.990,38.820,38.840,4520721.0,116200
2024-7-2,11:00,38.870,38.870,38.660,38.790,4131444.0,106700
2024-7-2,11:05,38.790,38.790,38.570,38.610,4222233.0,109300
2024-7-2,11:10,38.610,38.680,38.380,38.430,5566246.0,144500
2024-7-2,11:15,38.410,38.580,38.310,38.400,4777297.0,124300
2024-7-2,11:20,38.390,38.550,38.390,38.430,1800930.0,46800
2024-7-2,11:25,38.430,38.430,38.330,38.400,1166277.0,30400
2024-7-2,11:30,38.410,38.480,38.280,38.480,3150617.0,82100
2024-7-2,13:05,38.480,38.480,38.000,38.300,4369193.0,114300
2024-7-2,13:10,38.290,38.340,38.190,38.190,1259712.0,32900
2024-7-2,13:15,38.190,38.380,38.180,38.180,2574106.0,67300
2024-7-2,13:20,38.160,38.270,38.150,38.150,1885764.0,49400
2024-7-2,13:25,38.140,38.210,38.130,38.200,745979.0,19600
2024-7-2,13:30,38.200,38.240,38.130,38.240,1244781.0,32600
2024-7-2,13:35,38.200,38.300,38.140,38.300,786376.0,20600
2024-7-2,13:40,38.320,38.320,38.150,38.150,1413286.0,37000
2024-7-2,13:45,38.150,38.340,38.150,38.300,2762604.0,72200
2024-7-2,13:50,38.300,38.330,38.230,38.230,2218943.0,57900
2024-7-2,13:55,38.230,38.340,38.210,38.280,1168500.0,30600
2024-7-2,14:00,38.260,38.270,38.230,38.230,939131.0,24500
2024-7-2,14:05,38.230,38.420,38.210,38.220,4167700.0,108900
2024-7-2,14:10,38.220,38.220,38.090,38.100,3671296.0,96200
2024-7-2,14:15,38.100,38.160,38.070,38.100,2533172.0,66500
2024-7-2,14:20,38.100,38.120,38.050,38.050,2701185.0,71000
2024-7-2,14:25,38.050,38.090,37.900,37.950,6639801.0,174700
2024-7-2,14:30,37.950,38.050,37.910,38.000,4863307.0,128100
2024-7-2,14:35,38.000,38.190,37.960,38.030,2076878.0,54600
2024-7-2,14:40,37.980,38.150,37.960,38.100,2412335.0,63500
2024-7-2,14:45,38.080,38.190,38.030,38.100,2004820.0,52600
2024-7-2,14:50,38.100,38.120,38.060,38.110,2377406.0,62500
2024-7-2,14:55,38.100,38.160,38.100,38.160,2379667.0,62400
2024-7-2,15:00,38.170,38.190,38.100,38.100,2583287.0,67800
