日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,37.100,38.770,37.100,38.260,21110554.0,560000
2024-9-30,09:40,38.110,38.250,37.260,37.260,9968287.0,263200
2024-9-30,09:45,37.150,37.990,37.000,37.880,10393841.0,277800
2024-9-30,09:50,37.500,37.960,37.080,37.100,9171844.0,245300
2024-9-30,09:55,37.090,37.390,36.360,36.750,8343225.0,226200
2024-9-30,10:00,36.920,37.400,36.800,37.240,5022422.0,135500
2024-9-30,10:05,37.240,37.980,37.240,37.960,5048500.0,134000
2024-9-30,10:10,37.900,38.020,37.760,38.020,4799738.0,126600
2024-9-30,10:15,37.990,38.190,37.630,37.710,4711464.0,124500
2024-9-30,10:20,37.710,38.210,37.500,38.200,5980908.0,158100
2024-9-30,10:25,38.210,39.260,38.170,39.190,10192745.0,263100
2024-9-30,10:30,39.170,39.170,38.700,38.990,6830409.0,175400
2024-9-30,10:35,39.000,39.000,38.680,38.700,2216415.0,57100
2024-9-30,10:40,38.740,38.900,38.700,38.900,902543.0,23300
2024-9-30,10:45,38.900,39.180,38.900,39.060,2114479.0,54100
2024-9-30,10:50,39.180,39.450,39.060,39.260,2787277.0,70900
2024-9-30,10:55,39.160,39.630,39.160,39.630,2659989.0,67400
2024-9-30,11:00,39.630,40.800,39.630,40.800,3576095.0,89100
2024-9-30,11:05,40.810,41.120,39.810,39.810,4961537.0,121900
2024-9-30,11:10,39.810,39.830,38.960,39.350,2472909.0,62900
2024-9-30,11:15,39.500,40.100,39.500,40.040,1867171.0,46700
2024-9-30,11:20,40.010,40.100,39.910,40.000,1160597.0,29000
2024-9-30,11:25,39.990,40.090,39.910,40.050,1333363.0,33400
2024-9-30,11:30,40.050,40.090,39.990,40.090,1170730.0,29200
2024-9-30,13:05,40.090,41.410,40.090,41.410,7740794.0,190100
2024-9-30,13:10,41.410,41.650,41.010,41.070,2426930.0,58600
2024-9-30,13:15,41.070,41.200,40.550,40.600,3364137.0,82100
2024-9-30,13:20,40.860,41.000,40.620,40.800,3884496.0,95300
2024-9-30,13:25,40.650,40.850,40.530,40.850,2066878.0,50900
2024-9-30,13:30,40.860,41.520,40.850,41.480,2150685.0,52400
2024-9-30,13:35,41.460,41.490,41.070,41.400,2569748.0,62100
2024-9-30,13:40,41.390,41.500,41.190,41.470,4138998.0,100000
2024-9-30,13:45,41.370,41.500,41.280,41.280,4074707.0,98500
2024-9-30,13:50,41.270,41.510,41.100,41.500,2986343.0,72300
2024-9-30,13:55,41.490,41.880,41.490,41.870,10177032.0,244100
2024-9-30,14:00,41.880,41.990,41.870,41.980,3581333.0,85400
2024-9-30,14:05,41.980,41.990,41.820,41.820,1294549.0,30800
2024-9-30,14:10,41.800,41.950,41.560,41.900,3449248.0,82600
2024-9-30,14:15,41.810,41.920,41.090,41.090,3438651.0,82800
2024-9-30,14:20,41.150,41.900,41.150,41.360,1190890.0,28800
2024-9-30,14:25,41.350,41.350,40.310,40.310,6103179.0,148600
2024-9-30,14:30,40.310,40.960,40.300,40.960,3084762.0,76200
2024-9-30,14:35,40.890,40.970,40.370,40.700,1962834.0,48300
2024-9-30,14:40,40.390,40.700,40.390,40.700,2049003.0,50400
2024-9-30,14:45,40.690,40.780,40.690,40.770,2298038.0,56500
2024-9-30,14:50,40.770,40.990,40.710,40.960,3562878.0,87200
2024-9-30,14:55,40.920,41.000,40.660,41.000,5580167.0,136400
2024-9-30,15:00,41.000,41.230,41.000,41.230,3192874.0,77600
2024-10-8,09:35,48.800,48.800,46.010,48.100,23712502.0,496100
2024-10-8,09:40,48.030,48.100,46.950,47.730,24850200.0,522700
2024-10-8,09:45,47.180,47.180,44.200,44.950,19049596.0,414200
2024-10-8,09:50,44.940,47.800,44.900,47.710,12394695.0,267900
2024-10-8,09:55,47.600,47.940,47.510,47.590,7508100.0,157400
2024-10-8,10:00,47.580,47.780,47.470,47.780,6768747.0,142400
2024-10-8,10:05,47.600,47.940,47.500,47.800,7704306.0,161800
2024-10-8,10:10,47.990,48.450,47.790,48.000,7861963.0,163900
2024-10-8,10:15,48.010,48.160,47.690,47.690,8880108.0,185000
2024-10-8,10:20,47.690,47.710,47.450,47.650,5838290.0,122800
2024-10-8,10:25,47.540,47.650,47.110,47.130,3171587.0,66800
2024-10-8,10:30,47.130,47.130,46.620,46.680,3441471.0,73500
2024-10-8,10:35,46.670,47.010,45.500,45.640,7802246.0,169500
2024-10-8,10:40,45.660,45.660,44.600,44.730,11709095.0,259400
2024-10-8,10:45,44.730,46.880,44.720,46.880,5511144.0,121600
2024-10-8,10:50,46.890,46.980,46.070,46.100,2862040.0,61600
2024-10-8,10:55,46.110,46.300,46.050,46.100,1605185.0,34800
2024-10-8,11:00,46.100,46.880,46.060,46.600,5473339.0,118300
2024-10-8,11:05,46.600,46.600,46.110,46.290,2871595.0,62000
2024-10-8,11:10,46.290,47.400,46.230,47.380,5763452.0,123900
2024-10-8,11:15,47.380,47.680,46.990,47.400,4417474.0,93100
2024-10-8,11:20,47.400,47.760,47.400,47.760,2321445.0,48800
2024-10-8,11:25,47.770,47.800,47.600,47.790,2435748.0,51100
2024-10-8,11:30,47.750,47.750,47.020,47.750,4674364.0,98300
2024-10-8,13:05,47.870,48.480,47.710,48.340,9142485.0,189900
2024-10-8,13:10,48.360,48.750,48.200,48.560,8958724.0,184300
2024-10-8,13:15,48.550,48.550,48.090,48.090,2655476.0,55100
2024-10-8,13:20,48.090,48.090,47.930,48.020,1967705.0,40900
2024-10-8,13:25,47.930,48.000,47.550,47.550,947139.0,19900
2024-10-8,13:30,47.560,48.000,47.470,48.000,3188328.0,66800
2024-10-8,13:35,48.000,48.000,47.810,47.840,2515505.0,52400
2024-10-8,13:40,47.840,48.000,47.630,47.720,2033670.0,42500
2024-10-8,13:45,47.630,47.720,47.580,47.670,1729348.0,36300
2024-10-8,13:50,47.640,47.720,47.170,47.170,4441330.0,93500
