日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,98.440,104.800,97.910,104.360,195102736.0,1922700
2024-9-30,09:40,104.150,104.350,102.000,102.000,93328544.0,902100
2024-9-30,09:45,102.000,104.300,101.950,103.500,81495272.0,792500
2024-9-30,09:50,103.770,106.660,103.000,105.930,87497344.0,835600
2024-9-30,09:55,106.240,106.990,103.630,106.990,98877920.0,941500
2024-9-30,10:00,106.970,115.880,106.970,112.880,135495872.0,1223800
2024-9-30,10:05,112.500,113.000,109.020,109.130,67344544.0,605300
2024-9-30,10:10,109.190,109.990,108.000,108.130,50590240.0,463900
2024-9-30,10:15,108.180,111.860,108.160,110.790,52563092.0,475000
2024-9-30,10:20,111.230,114.000,109.990,113.130,40048564.0,359400
2024-9-30,10:25,113.130,114.000,111.600,112.000,32039496.0,284200
2024-9-30,10:30,112.000,112.860,111.010,112.000,17394978.0,155500
2024-9-30,10:35,111.680,112.500,111.510,111.600,24489586.0,218400
2024-9-30,10:40,111.700,113.000,111.510,113.000,20904428.0,186100
2024-9-30,10:45,112.990,114.410,112.510,114.100,18913296.0,166600
2024-9-30,10:50,114.250,114.290,113.300,113.700,12510095.0,109700
2024-9-30,10:55,113.700,113.850,113.080,113.660,10273594.0,90500
2024-9-30,11:00,113.650,114.200,113.650,114.200,12249112.0,107400
2024-9-30,11:05,114.230,114.580,111.810,111.810,20250664.0,178000
2024-9-30,11:10,111.800,113.010,111.600,113.010,16863792.0,150300
2024-9-30,11:15,113.060,114.500,113.060,114.490,17346882.0,152500
2024-9-30,11:20,114.420,115.000,113.730,115.000,25259332.0,220300
2024-9-30,11:25,115.000,115.000,113.200,114.150,26737506.0,234200
2024-9-30,11:30,114.150,114.860,114.150,114.680,23970046.0,209400
2024-9-30,13:05,114.670,115.680,114.580,114.940,54608968.0,474500
2024-9-30,13:10,114.760,115.000,114.120,114.360,19109672.0,166800
2024-9-30,13:15,114.350,114.500,112.710,112.710,23576718.0,207000
2024-9-30,13:20,112.800,113.740,112.770,113.480,20790670.0,183400
2024-9-30,13:25,113.230,113.990,113.040,113.790,20686928.0,182000
2024-9-30,13:30,113.820,113.820,113.080,113.600,14407007.0,127000
2024-9-30,13:35,113.600,114.000,113.600,113.930,19312820.0,169700
2024-9-30,13:40,113.940,114.270,113.680,114.050,28243546.0,247800
2024-9-30,13:45,114.050,114.490,113.880,114.400,26137280.0,228900
2024-9-30,13:50,114.500,114.580,114.230,114.330,17764940.0,155300
2024-9-30,13:55,114.350,115.790,114.350,115.750,37961800.0,329400
2024-9-30,14:00,115.750,115.750,114.990,115.520,27734374.0,240100
2024-9-30,14:05,115.520,115.650,115.500,115.650,11182356.0,96700
2024-9-30,14:10,115.650,115.960,115.620,115.960,22635172.0,195600
2024-9-30,14:15,115.980,117.380,115.980,117.180,42117588.0,360900
2024-9-30,14:20,117.300,117.360,115.660,115.660,13439386.0,115100
2024-9-30,14:25,115.620,115.640,112.800,112.800,22905764.0,201100
2024-9-30,14:30,112.800,114.960,112.690,114.520,26271008.0,231500
2024-9-30,14:35,114.500,115.800,114.340,115.550,14079792.0,122500
2024-9-30,14:40,115.220,115.860,115.070,115.860,16114252.0,139700
2024-9-30,14:45,115.870,115.980,115.700,115.890,18487008.0,159500
2024-9-30,14:50,115.900,117.000,115.900,117.000,38579112.0,331100
2024-9-30,14:55,117.040,117.180,115.320,116.000,40518396.0,348200
2024-9-30,15:00,116.040,116.500,115.920,116.500,56372552.0,484800
2024-10-8,09:35,139.800,139.800,129.000,137.000,554832384.0,4080300
2024-10-8,09:40,136.920,137.790,135.380,135.710,165396160.0,1208900
2024-10-8,09:45,135.770,137.130,133.000,133.000,135298416.0,996700
2024-10-8,09:50,133.000,139.560,132.770,139.560,141545376.0,1042200
2024-10-8,09:55,139.560,139.800,138.000,138.200,137852144.0,988600
2024-10-8,10:00,138.200,139.470,138.200,138.800,44265940.0,318800
2024-10-8,10:05,138.700,139.800,138.700,139.800,82768720.0,593300
2024-10-8,10:10,139.800,139.800,138.900,139.790,107951976.0,773400
2024-10-8,10:15,139.790,139.800,137.740,137.740,63217228.0,456700
2024-10-8,10:20,137.660,139.800,137.010,139.790,67157760.0,484800
2024-10-8,10:25,139.770,139.800,139.090,139.800,61193128.0,437900
2024-10-8,10:30,139.800,139.800,139.160,139.380,50573296.0,361900
2024-10-8,10:35,139.220,139.320,136.280,136.280,61598304.0,446600
2024-10-8,10:40,136.280,136.280,132.280,133.130,105784168.0,790400
2024-10-8,10:45,133.130,139.510,133.000,139.210,79304856.0,580900
2024-10-8,10:50,139.510,139.510,137.520,138.010,37278404.0,268600
2024-10-8,10:55,138.320,138.970,137.960,137.990,15586802.0,112500
2024-10-8,11:00,137.990,138.280,137.300,138.280,17961728.0,130500
2024-10-8,11:05,138.280,139.200,137.880,139.050,22295376.0,161000
2024-10-8,11:10,139.090,139.800,138.910,139.800,79574168.0,570000
2024-10-8,11:15,139.800,139.800,139.800,139.800,8564148.0,61300
2024-10-8,11:20,139.800,139.800,139.800,139.800,4811916.0,34400
2024-10-8,11:25,139.800,139.800,139.800,139.800,2323476.0,16600
2024-10-8,11:30,139.800,139.800,139.800,139.800,1411980.0,10100
2024-10-8,13:05,139.800,139.800,139.800,139.800,13501884.0,96600
2024-10-8,13:10,139.800,139.800,139.800,139.800,1423443.625,10200
2024-10-8,13:15,139.800,139.800,139.800,139.800,1705560.0,12200
2024-10-8,13:20,139.800,139.800,139.800,139.800,3374772.0,24100
2024-10-8,13:25,139.800,139.800,139.800,139.800,1054092.0,7600
2024-10-8,13:30,139.800,139.800,139.800,139.800,855576.0,6100
2024-10-8,13:35,139.800,139.800,139.800,139.800,167760.0,1200
2024-10-8,13:40,139.800,139.800,139.800,139.800,696204.0,5000
2024-10-8,13:45,139.800,139.800,139.800,139.800,1719540.0,12300
2024-10-8,13:50,139.800,139.800,139.800,139.800,936660.0,6700
2024-10-8,13:55,139.800,139.800,139.800,139.800,1369201.25,9800
2024-10-8,14:00,139.800,139.800,139.800,139.800,1462308.0,10400
2024-10-8,14:05,139.800,139.800,139.800,139.800,5119476.0,36700
2024-10-8,14:10,139.800,139.800,139.800,139.800,768900.0,5500
2024-10-8,14:15,139.800,139.800,139.800,139.800,914292.0,6500
2024-10-8,14:20,139.800,139.800,139.800,139.800,167760.0,1200
2024-10-8,14:25,139.800,139.800,139.800,139.800,461340.0,3300
2024-10-8,14:30,139.800,139.800,139.800,139.800,408216.0,2900
2024-10-8,14:35,139.800,139.800,139.800,139.800,545220.0,3900
2024-10-8,14:40,139.800,139.800,139.800,139.800,153780.0,1100
2024-10-8,14:45,139.800,139.800,139.800,139.800,191246.40625,1400
2024-10-8,14:50,139.800,139.800,139.800,139.800,83880.0,600
2024-10-8,14:55,139.800,139.800,139.800,139.800,195720.0,1400
2024-10-8,15:00,139.800,139.800,139.800,139.800,5536080.0,39600
2024-10-9,09:35,140.000,149.990,137.600,149.890,521601376.0,3618000
2024-10-9,09:40,149.990,153.900,149.560,151.220,264867168.0,1753700
2024-10-9,09:45,151.190,152.000,147.930,152.000,138155584.0,921100
2024-10-9,09:50,151.900,154.500,151.200,154.500,86849144.0,570100
2024-10-9,09:55,154.470,156.740,153.130,153.320,129475768.0,834400
2024-10-9,10:00,153.230,154.800,150.000,150.650,95237968.0,626400
2024-10-9,10:05,151.670,154.770,150.500,154.400,75219840.0,490700
2024-10-9,10:10,154.370,155.480,154.310,154.310,58843864.0,380000
2024-10-9,10:15,154.320,154.990,153.200,154.800,55943936.0,363000
2024-10-9,10:20,154.800,159.400,154.570,157.120,108014464.0,689100
2024-10-9,10:25,157.910,160.000,157.910,157.990,72092904.0,452800
2024-10-9,10:30,157.560,157.560,153.250,153.500,57391984.0,369600
2024-10-9,10:35,153.500,155.400,153.000,153.200,52532008.0,340600
2024-10-9,10:40,153.000,154.810,153.000,153.740,35151040.0,228700
2024-10-9,10:45,153.590,158.000,153.590,157.870,45062068.0,288500
2024-10-9,10:50,157.870,159.500,156.010,156.980,44492236.0,280800
2024-10-9,10:55,156.990,158.180,155.000,155.900,23141924.0,147200
2024-10-9,11:00,155.500,156.510,155.400,156.510,16825524.0,107900
2024-10-9,11:05,156.590,156.930,154.330,155.470,36480112.0,235000
2024-10-9,11:10,155.010,155.490,153.510,153.600,28054014.0,181500
2024-10-9,11:15,153.550,154.810,153.400,153.400,36548516.0,237700
2024-10-9,11:20,153.510,154.790,151.000,152.500,50361552.0,330400
2024-10-9,11:25,151.620,156.900,151.620,155.000,47102056.0,306600
2024-10-9,11:30,155.000,158.830,155.000,158.820,38648208.0,245000
2024-10-9,13:05,158.980,164.490,158.980,163.800,100095352.0,620400
2024-10-9,13:10,163.960,163.960,162.000,162.800,37046196.0,227100
2024-10-9,13:15,163.400,163.800,160.560,161.310,29851684.0,183800
2024-10-9,13:20,161.310,162.600,160.500,161.500,21105192.0,130800
2024-10-9,13:25,161.450,166.630,161.200,166.010,55285020.0,336400
2024-10-9,13:30,166.010,166.630,165.080,166.000,37598316.0,226300
2024-10-9,13:35,166.000,167.000,166.000,167.000,41078232.0,246700
2024-10-9,13:40,167.000,167.700,167.000,167.300,44152452.0,263800
2024-10-9,13:45,167.330,167.750,165.100,165.100,48811876.0,292300
2024-10-9,13:50,165.170,167.000,165.100,166.010,19459584.0,117500
2024-10-9,13:55,166.410,166.500,165.200,165.200,18684240.0,112600
2024-10-9,14:00,165.190,166.660,165.190,166.010,9788402.0,58900
2024-10-9,14:05,166.010,166.740,165.890,166.740,15297400.0,92000
2024-10-9,14:10,166.740,166.750,164.030,164.030,22087772.0,133300
2024-10-9,14:15,164.020,166.000,164.020,164.850,14099695.0,85400
2024-10-9,14:20,164.810,165.250,164.730,164.730,15970481.0,96800
2024-10-9,14:25,164.730,164.730,160.030,161.000,46191980.0,286800
2024-10-9,14:30,160.210,162.000,160.150,160.210,40534152.0,251900
2024-10-9,14:35,160.210,161.990,159.800,160.000,35251880.0,219500
2024-10-9,14:40,160.000,160.010,155.000,155.440,51967520.0,331400
2024-10-9,14:45,155.990,159.000,155.480,155.500,32013320.0,203100
2024-10-9,14:50,155.500,155.500,151.400,154.000,70558016.0,460300
2024-10-9,14:55,154.000,154.140,152.060,152.080,61235936.0,398800
2024-10-9,15:00,152.000,152.080,151.010,151.380,83129712.0,548300
2024-10-10,09:35,158.850,163.700,145.000,155.100,487213280.0,3141400
2024-10-10,09:40,155.580,160.990,153.520,158.020,205167024.0,1308500
2024-10-10,09:45,158.530,162.560,155.000,159.030,139848096.0,883200
2024-10-10,09:50,158.830,159.000,156.520,157.400,71299616.0,451900
2024-10-10,09:55,157.400,158.500,156.100,156.100,76997080.0,489800
2024-10-10,10:00,156.870,159.990,156.230,159.750,76527008.0,483000
2024-10-10,10:05,159.730,160.000,157.070,157.500,46094696.0,290300
2024-10-10,10:10,157.200,157.600,153.610,155.020,86399600.0,555800
2024-10-10,10:15,155.060,156.260,154.500,156.260,59319320.0,382500
2024-10-10,10:20,156.700,156.970,154.710,156.230,54312480.0,348500
2024-10-10,10:25,156.240,159.500,156.240,157.380,34276096.0,217600
2024-10-10,10:30,157.350,158.700,156.400,158.240,33383796.0,211800
2024-10-10,10:35,158.240,162.380,158.240,162.220,59420892.0,371400
2024-10-10,10:40,162.450,162.800,160.140,162.630,59981836.0,370300
