日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-9-30,09:35,7.130,7.240,7.130,7.210,311021472.0,43314200
2024-9-30,09:40,7.210,7.280,7.130,7.130,188567520.0,26132200
2024-9-30,09:45,7.140,7.170,7.090,7.150,164871024.0,23134100
2024-9-30,09:50,7.160,7.180,7.000,7.050,191253408.0,26954800
2024-9-30,09:55,7.070,7.120,7.000,7.120,143946064.0,20385200
2024-9-30,10:00,7.120,7.180,7.120,7.150,75060408.0,10498700
2024-9-30,10:05,7.150,7.200,7.150,7.180,72185432.0,10059200
2024-9-30,10:10,7.180,7.210,7.170,7.190,61080252.0,8495000
2024-9-30,10:15,7.190,7.190,7.160,7.190,39798364.0,5548500
2024-9-30,10:20,7.190,7.210,7.180,7.210,54683304.0,7598200
2024-9-30,10:25,7.200,7.260,7.200,7.260,49171548.0,6789400
2024-9-30,10:30,7.250,7.280,7.250,7.260,46852376.0,6442600
2024-9-30,10:35,7.260,7.270,7.220,7.270,73962184.0,10201200
2024-9-30,10:40,7.270,7.280,7.260,7.270,27126134.0,3732900
2024-9-30,10:45,7.270,7.340,7.260,7.330,91706568.0,12562700
2024-9-30,10:50,7.320,7.330,7.270,7.300,54515496.0,7467900
2024-9-30,10:55,7.300,7.330,7.270,7.330,56444620.0,7738500
2024-9-30,11:00,7.340,7.400,7.320,7.390,55659716.0,7559800
2024-9-30,11:05,7.390,7.400,7.320,7.320,47479064.0,6457200
2024-9-30,11:10,7.330,7.340,7.280,7.340,43872864.0,6012800
2024-9-30,11:15,7.330,7.350,7.310,7.320,22794420.0,3113400
2024-9-30,11:20,7.320,7.340,7.310,7.340,24125238.0,3293800
2024-9-30,11:25,7.350,7.370,7.350,7.360,22265408.0,3026300
2024-9-30,11:30,7.350,7.390,7.340,7.390,34109832.0,4630600
2024-9-30,13:05,7.390,7.460,7.390,7.420,66567124.0,8968500
2024-9-30,13:10,7.430,7.470,7.430,7.450,37473296.0,5034200
2024-9-30,13:15,7.440,7.450,7.360,7.360,53285392.0,7194000
2024-9-30,13:20,7.370,7.420,7.360,7.400,30958868.0,4187800
2024-9-30,13:25,7.410,7.410,7.390,7.400,24410698.0,3299800
2024-9-30,13:30,7.410,7.430,7.400,7.420,32615488.0,4400500
2024-9-30,13:35,7.430,7.460,7.420,7.460,30456094.0,4089500
2024-9-30,13:40,7.460,7.480,7.450,7.480,25319912.0,3390400
2024-9-30,13:45,7.480,7.520,7.470,7.520,39365520.0,5251600
2024-9-30,13:50,7.520,7.520,7.500,7.520,28418780.0,3783400
2024-9-30,13:55,7.510,7.520,7.490,7.500,40429744.0,5389700
2024-9-30,14:00,7.490,7.510,7.480,7.500,37476680.0,4999800
2024-9-30,14:05,7.510,7.550,7.500,7.550,40874960.0,5431000
