时间,开盘,最高,最低,收盘,成交量,MACD.DIF,MACD.DEA,MACD.MACD
2017/03/14,1.3260,1.3260,1.3260,1.3260,0,0.000,0.000,0.000
2017/03/15,1.3250,1.3250,1.3250,1.3250,0,-0.000,-0.000,-0.000
2017/03/16,1.3320,1.3320,1.3320,1.3320,0,0.000,0.000,0.001
2017/03/17,1.3230,1.3230,1.3230,1.3230,0,0.000,0.000,0.000
2017/03/20,1.3270,1.3270,1.3270,1.3270,0,0.000,0.000,0.000
2017/03/21,1.3310,1.3310,1.3310,1.3310,0,0.001,0.000,0.001
2017/03/22,1.3250,1.3250,1.3250,1.3250,0,0.000,0.000,0.000
2017/03/23,1.3280,1.3280,1.3280,1.3280,0,0.000,0.000,0.000
2017/03/24,1.3360,1.3360,1.3360,1.3360,0,0.001,0.000,0.001
2017/03/27,1.3290,1.3290,1.3290,1.3290,0,0.001,0.001,0.001
2017/03/28,1.3260,1.3260,1.3260,1.3260,0,0.001,0.001,0.000
2017/03/29,1.3200,1.3200,1.3200,1.3200,0,0.000,0.000,-0.001
2017/03/30,1.3060,1.3060,1.3060,1.3060,0,-0.002,0.000,-0.003
2017/03/31,1.3090,1.3090,1.3090,1.3090,0,-0.003,-0.000,-0.004
2017/04/05,1.3310,1.3310,1.3310,1.3310,0,-0.002,-0.001,-0.002
2017/04/06,1.3360,1.3360,1.3360,1.3360,0,-0.000,-0.001,0.000
2017/04/07,1.3350,1.3350,1.3350,1.3350,0,0.000,-0.000,0.002
2017/04/10,1.3330,1.3330,1.3330,1.3330,0,0.001,-0.000,0.002
2017/04/11,1.3410,1.3410,1.3410,1.3410,0,0.002,0.000,0.003
2017/04/12,1.3320,1.3320,1.3320,1.3320,0,0.002,0.001,0.003
2017/04/13,1.3350,1.3350,1.3350,1.3350,0,0.002,0.001,0.003
2017/04/14,1.3240,1.3240,1.3240,1.3240,0,0.001,0.001,0.001
2017/04/17,1.3180,1.3180,1.3180,1.3180,0,0.000,0.001,-0.001
2017/04/18,1.3070,1.3070,1.3070,1.3070,0,-0.001,0.000,-0.003
2017/04/19,1.3060,1.3060,1.3060,1.3060,0,-0.003,-0.000,-0.005
2017/04/20,1.3080,1.3080,1.3080,1.3080,0,-0.004,-0.001,-0.005
2017/04/21,1.3040,1.3040,1.3040,1.3040,0,-0.005,-0.002,-0.006
2017/04/24,1.2830,1.2830,1.2830,1.2830,0,-0.007,-0.003,-0.009
2017/04/25,1.2890,1.2890,1.2890,1.2890,0,-0.008,-0.004,-0.009
2017/04/26,1.2870,1.2870,1.2870,1.2870,0,-0.009,-0.005,-0.009
2017/04/27,1.2910,1.2910,1.2910,1.2910,0,-0.010,-0.006,-0.008
2017/04/28,1.2920,1.2920,1.2920,1.2920,0,-0.010,-0.007,-0.007
2017/05/02,1.2890,1.2890,1.2890,1.2890,0,-0.010,-0.007,-0.006
2017/05/03,1.2890,1.2890,1.2890,1.2890,0,-0.010,-0.008,-0.005
2017/05/04,1.2880,1.2880,1.2880,1.2880,0,-0.010,-0.008,-0.004
2017/05/05,1.2760,1.2760,1.2760,1.2760,0,-0.011,-0.009,-0.004
2017/05/08,1.2630,1.2630,1.2630,1.2630,0,-0.013,-0.010,-0.006
2017/05/09,1.2670,1.2670,1.2670,1.2670,0,-0.013,-0.010,-0.006
2017/05/10,1.2500,1.2500,1.2500,1.2500,0,-0.015,-0.011,-0.008
2017/05/11,1.2520,1.2520,1.2520,1.2520,0,-0.016,-0.012,-0.008
2017/05/12,1.2490,1.2490,1.2490,1.2490,0,-0.017,-0.013,-0.008
2017/05/15,1.2560,1.2560,1.2560,1.2560,0,-0.017,-0.014,-0.006
2017/05/16,1.2760,1.2760,1.2760,1.2760,0,-0.015,-0.014,-0.002
2017/05/17,1.2820,1.2820,1.2820,1.2820,0,-0.013,-0.014,0.002
2017/05/18,1.2820,1.2820,1.2820,1.2820,0,-0.012,-0.014,0.004
2017/05/19,1.2870,1.2870,1.2870,1.2870,0,-0.010,-0.013,0.006
2017/05/22,1.2740,1.2740,1.2740,1.2740,0,-0.009,-0.012,0.006
2017/05/23,1.2600,1.2600,1.2600,1.2600,0,-0.010,-0.012,0.004
2017/05/24,1.2670,1.2670,1.2670,1.2670,0,-0.009,-0.011,0.004
2017/05/25,1.2740,1.2740,1.2740,1.2740,0,-0.008,-0.011,0.004
2017/05/26,1.2770,1.2770,1.2770,1.2770,0,-0.007,-0.010,0.005
2017/05/31,1.2720,1.2720,1.2720,1.2720,0,-0.007,-0.009,0.005
2017/06/01,1.2610,1.2610,1.2610,1.2610,0,-0.007,-0.009,0.003
2017/06/02,1.2630,1.2630,1.2630,1.2630,0,-0.008,-0.009,0.002
2017/06/05,1.2690,1.2690,1.2690,1.2690,0,-0.007,-0.008,0.003
