日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,51.400,52.410,51.000,51.690,143604672.0,2773300
2025-3-31,09:40,51.790,51.980,51.500,51.630,51614276.0,999000
2025-3-31,09:45,51.730,51.730,50.870,50.900,67981056.0,1327100
2025-3-31,09:50,50.900,51.110,50.600,50.790,91649352.0,1804000
2025-3-31,09:55,50.790,51.230,50.780,51.230,36942824.0,724900
2025-3-31,10:00,51.230,51.870,51.080,51.650,45506604.0,883400
2025-3-31,10:05,51.650,51.900,51.500,51.780,35395064.0,683600
2025-3-31,10:10,51.750,51.750,51.350,51.610,20960956.0,406600
2025-3-31,10:15,51.610,51.650,51.330,51.420,18689180.0,363200
2025-3-31,10:20,51.410,51.600,51.260,51.300,18516316.0,360400
2025-3-31,10:25,51.300,51.300,51.180,51.190,15667434.0,305800
2025-3-31,10:30,51.200,51.220,51.020,51.150,20116316.0,393400
2025-3-31,10:35,51.110,51.370,51.100,51.240,17557600.0,342500
2025-3-31,10:40,51.230,51.380,51.100,51.210,13881892.0,270800
2025-3-31,10:45,51.210,51.260,51.100,51.140,13500230.0,263800
2025-3-31,10:50,51.140,51.260,51.130,51.160,14807428.0,289300
2025-3-31,10:55,51.160,51.260,50.960,50.960,18489940.0,361900
2025-3-31,11:00,50.970,51.280,50.970,51.040,19576384.0,383300
2025-3-31,11:05,51.040,51.320,51.040,51.200,10785198.0,210600
2025-3-31,11:10,51.250,51.250,51.000,51.150,11233700.0,219800
2025-3-31,11:15,51.150,51.300,51.090,51.290,11845519.0,231500
2025-3-31,11:20,51.290,51.750,51.290,51.520,23915020.0,464000
2025-3-31,11:25,51.510,51.590,51.230,51.250,11031324.0,214700
2025-3-31,11:30,51.270,51.450,51.200,51.440,14873422.0,289900
2025-3-31,13:05,51.390,52.290,51.370,52.070,73335648.0,1412800
2025-3-31,13:10,52.060,52.390,51.910,52.390,43658132.0,837900
2025-3-31,13:15,52.400,52.490,52.260,52.420,58583292.0,1118500
2025-3-31,13:20,52.420,52.420,52.100,52.140,32593440.0,623500
2025-3-31,13:25,52.120,52.250,52.060,52.230,17452212.0,334700
2025-3-31,13:30,52.230,52.230,52.010,52.070,20361914.0,390900
2025-3-31,13:35,52.060,52.200,51.900,52.070,19827108.0,380900
2025-3-31,13:40,52.060,52.060,51.930,52.000,12535951.0,241100
2025-3-31,13:45,52.030,52.080,51.950,51.960,12032369.0,231300
2025-3-31,13:50,51.970,52.090,51.900,52.090,14251080.0,274200
2025-3-31,13:55,52.080,52.170,52.010,52.160,12133301.0,232900
2025-3-31,14:00,52.160,52.280,52.110,52.280,12133039.0,232600
2025-3-31,14:05,52.280,52.300,52.110,52.300,27473100.0,525800
2025-3-31,14:10,52.300,52.660,52.270,52.650,39888400.0,760700
2025-3-31,14:15,52.560,52.990,52.560,52.980,70366544.0,1333000
2025-3-31,14:20,52.980,53.210,52.860,52.990,69934448.0,1318400
2025-3-31,14:25,52.990,53.370,52.870,53.060,65503804.0,1233200
2025-3-31,14:30,53.060,53.110,52.610,52.610,40742488.0,769800
2025-3-31,14:35,52.650,52.930,52.650,52.820,25745950.0,487500
2025-3-31,14:40,52.810,53.020,52.790,52.940,32142624.0,607500
2025-3-31,14:45,52.940,52.940,52.750,52.910,26997326.0,511200
2025-3-31,14:50,52.890,52.970,52.860,52.910,31358288.0,592500
2025-3-31,14:55,52.910,52.910,52.800,52.860,41550864.0,786100
2025-3-31,15:00,52.880,52.890,52.860,52.870,48541800.0,918000
2025-4-1,09:35,53.220,53.450,52.740,53.020,126964880.0,2395400
2025-4-1,09:40,53.030,53.030,52.530,52.550,63294240.0,1198100
2025-4-1,09:45,52.530,52.580,52.210,52.480,67770824.0,1292800
2025-4-1,09:50,52.480,52.580,52.310,52.500,38416408.0,732200
2025-4-1,09:55,52.480,52.510,52.310,52.500,35747584.0,682300
2025-4-1,10:00,52.480,52.670,52.360,52.560,26737528.0,509100
2025-4-1,10:05,52.520,52.660,52.420,52.620,25451364.0,484400
2025-4-1,10:10,52.610,52.830,52.560,52.670,31232520.0,592600
2025-4-1,10:15,52.660,52.920,52.510,52.900,27729704.0,526100
2025-4-1,10:20,52.920,52.930,52.740,52.870,27680722.0,523900
2025-4-1,10:25,52.890,52.960,52.820,52.930,26723104.0,505200
2025-4-1,10:30,52.930,52.950,52.810,52.850,20353946.0,384900
2025-4-1,10:35,52.860,52.860,52.700,52.780,16261325.0,308100
2025-4-1,10:40,52.780,52.880,52.600,52.830,16537522.0,313500
2025-4-1,10:45,52.830,52.910,52.720,52.810,17172432.0,324900
2025-4-1,10:50,52.820,52.860,52.730,52.810,12109870.0,229300
2025-4-1,10:55,52.820,52.830,52.540,52.640,16358857.0,310700
2025-4-1,11:00,52.640,52.640,52.420,52.440,23378296.0,445100
2025-4-1,11:05,52.410,52.520,52.400,52.470,16446273.0,313500
2025-4-1,11:10,52.470,52.480,52.370,52.430,15975487.0,304800
2025-4-1,11:15,52.440,52.570,52.380,52.520,12934983.0,246700
2025-4-1,11:20,52.530,52.620,52.480,52.620,8022496.0,152700
2025-4-1,11:25,52.610,52.700,52.540,52.620,9850999.0,187200
2025-4-1,11:30,52.620,52.620,52.480,52.500,12238911.0,232900
2025-4-1,13:05,52.510,52.550,52.310,52.310,33394326.0,636800
2025-4-1,13:10,52.320,52.350,52.270,52.320,20031382.0,383000
2025-4-1,13:15,52.310,52.350,52.250,52.250,22827672.0,436700
2025-4-1,13:20,52.250,52.250,52.000,52.050,43594040.0,837000
