日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,6.020,6.160,5.990,6.140,52538356.0,8628700
2025-3-31,09:40,6.130,6.140,6.090,6.100,14987314.0,2451900
2025-3-31,09:45,6.100,6.120,6.020,6.020,7744917.0,1273500
2025-3-31,09:50,6.020,6.090,6.020,6.080,4352553.0,717900
2025-3-31,09:55,6.080,6.080,6.060,6.080,6629948.0,1092900
2025-3-31,10:00,6.080,6.120,6.040,6.090,8289609.0,1362700
2025-3-31,10:05,6.090,6.100,6.040,6.040,4472652.0,736600
2025-3-31,10:10,6.030,6.040,5.990,6.010,11464567.0,1907000
2025-3-31,10:15,6.000,6.010,5.970,5.970,5649400.0,943100
2025-3-31,10:20,5.970,5.980,5.930,5.930,8502652.0,1428200
2025-3-31,10:25,5.930,5.940,5.900,5.910,8226230.0,1390000
2025-3-31,10:30,5.920,5.920,5.850,5.860,10999227.0,1869200
2025-3-31,10:35,5.860,5.890,5.840,5.880,5440228.0,926700
2025-3-31,10:40,5.880,5.900,5.840,5.840,5428759.0,925300
2025-3-31,10:45,5.840,5.850,5.820,5.840,6587948.0,1128700
2025-3-31,10:50,5.840,5.860,5.840,5.850,1727328.0,295300
2025-3-31,10:55,5.850,5.870,5.840,5.860,2356668.0,402400
2025-3-31,11:00,5.850,5.890,5.850,5.880,3112048.0,530200
2025-3-31,11:05,5.870,5.890,5.870,5.870,2563199.0,436000
2025-3-31,11:10,5.860,5.880,5.850,5.870,3826253.0,652900
2025-3-31,11:15,5.870,5.870,5.840,5.850,1922530.0,328500
2025-3-31,11:20,5.850,5.870,5.840,5.850,2008768.0,343000
2025-3-31,11:25,5.840,5.860,5.810,5.820,3636285.0,623700
2025-3-31,11:30,5.830,5.830,5.780,5.800,7173247.0,1235700
2025-3-31,13:05,5.800,5.870,5.800,5.860,6898592.0,1180200
2025-3-31,13:10,5.880,5.910,5.870,5.890,4904147.0,832700
2025-3-31,13:15,5.890,5.960,5.880,5.930,5992827.0,1011700
2025-3-31,13:20,5.940,5.940,5.900,5.900,3895904.0,658700
2025-3-31,13:25,5.900,5.900,5.870,5.900,2370101.0,403300
2025-3-31,13:30,5.910,5.950,5.890,5.910,3138879.0,530000
2025-3-31,13:35,5.900,5.930,5.900,5.920,2730306.0,461900
2025-3-31,13:40,5.920,5.920,5.880,5.890,1965407.0,333300
2025-3-31,13:45,5.890,5.900,5.860,5.870,2757825.0,469500
2025-3-31,13:50,5.880,5.880,5.860,5.860,650846.0,110900
2025-3-31,13:55,5.850,5.890,5.850,5.880,1270894.0,216700
2025-3-31,14:00,5.890,5.900,5.880,5.890,1142708.0,194200
2025-3-31,14:05,5.900,5.900,5.870,5.900,1822448.0,309600
2025-3-31,14:10,5.900,5.980,5.890,5.950,17481172.0,2940900
2025-3-31,14:15,5.950,6.080,5.950,6.070,15365565.0,2555100
2025-3-31,14:20,6.070,6.110,6.050,6.070,11788693.0,1937600
2025-3-31,14:25,6.080,6.100,6.050,6.090,7833903.0,1289000
2025-3-31,14:30,6.090,6.100,6.070,6.100,4124360.5,676900
2025-3-31,14:35,6.100,6.120,6.080,6.110,7281891.5,1193100
2025-3-31,14:40,6.110,6.150,6.100,6.130,9486060.0,1549000
2025-3-31,14:45,6.130,6.130,6.090,6.110,6100148.0,998700
2025-3-31,14:50,6.110,6.120,6.080,6.090,5312037.0,871000
2025-3-31,14:55,6.080,6.090,6.070,6.080,6053577.0,995500
2025-3-31,15:00,6.070,6.080,6.060,6.060,15099490.0,2490600
2025-4-1,09:35,6.030,6.110,6.030,6.060,14618290.0,2412300
2025-4-1,09:40,6.060,6.080,6.050,6.060,7402502.0,1221300
2025-4-1,09:45,6.050,6.060,6.020,6.050,7810138.0,1292700
2025-4-1,09:50,6.060,6.060,6.040,6.040,4261734.0,704400
2025-4-1,09:55,6.050,6.050,6.030,6.040,2732826.0,452600
2025-4-1,10:00,6.040,6.070,6.030,6.070,2704761.0,446800
2025-4-1,10:05,6.070,6.100,6.070,6.100,4658154.0,765500
2025-4-1,10:10,6.090,6.100,6.050,6.060,5176464.0,853600
2025-4-1,10:15,6.070,6.070,6.040,6.050,5247247.0,866900
2025-4-1,10:20,6.040,6.050,6.030,6.040,6593066.0,1091700
2025-4-1,10:25,6.040,6.050,6.030,6.030,2990967.0,495600
2025-4-1,10:30,6.030,6.040,6.010,6.020,2826907.0,469200
2025-4-1,10:35,6.010,6.020,5.990,6.020,8473199.0,1410700
2025-4-1,10:40,6.030,6.040,6.020,6.030,2364337.0,391900
2025-4-1,10:45,6.030,6.030,6.010,6.030,1830125.0,303800
2025-4-1,10:50,6.040,6.050,6.010,6.030,3806862.0,632100
2025-4-1,10:55,6.020,6.020,5.980,6.000,7922595.0,1320900
2025-4-1,11:00,6.000,6.020,6.000,6.010,2021900.0,336500
2025-4-1,11:05,6.000,6.020,6.000,6.010,1618711.0,269500
2025-4-1,11:10,6.000,6.010,5.990,5.990,3382334.5,564200
2025-4-1,11:15,5.990,6.000,5.950,5.980,5294068.5,886000
2025-4-1,11:20,5.990,6.000,5.970,5.970,1890449.0,316100
2025-4-1,11:25,5.970,6.000,5.960,5.980,14887353.0,2495100
2025-4-1,11:30,5.980,5.990,5.970,5.990,2458383.0,410900
2025-4-1,13:05,6.000,6.000,5.920,5.920,10487753.0,1762600
2025-4-1,13:10,5.920,5.940,5.870,5.880,11677088.0,1978500
2025-4-1,13:15,5.880,5.900,5.850,5.880,7418426.0,1262400
2025-4-1,13:20,5.890,5.890,5.850,5.870,10811796.0,1842800
2025-4-1,13:25,5.870,5.870,5.840,5.860,4210673.0,718500
2025-4-1,13:30,5.860,5.860,5.820,5.820,10353857.0,1773700
2025-4-1,13:35,5.820,5.830,5.780,5.790,12371783.0,2130800
2025-4-1,13:40,5.780,5.840,5.780,5.840,9344343.0,1609600
2025-4-1,13:45,5.840,5.840,5.800,5.800,4940324.0,847900
2025-4-1,13:50,5.810,5.830,5.800,5.810,5067448.0,871700
2025-4-1,13:55,5.800,5.830,5.790,5.820,5694738.0,980800
2025-4-1,14:00,5.820,5.830,5.810,5.820,2772068.0,476600
2025-4-1,14:05,5.810,5.830,5.810,5.820,2504300.0,430400
2025-4-1,14:10,5.820,5.820,5.790,5.800,5744796.0,990200
2025-4-1,14:15,5.790,5.800,5.780,5.800,1943960.0,335700
2025-4-1,14:20,5.800,5.810,5.790,5.810,3074413.0,529900
