日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,101.490,103.800,101.490,102.320,57212716.0,558300
2025-3-31,09:40,102.320,102.560,101.980,102.050,24514100.0,239700
2025-3-31,09:45,102.010,102.580,101.800,102.220,23328376.0,228300
2025-3-31,09:50,102.210,102.310,101.400,102.310,30389194.0,298100
2025-3-31,09:55,102.360,103.680,102.360,103.680,31338458.0,304400
2025-3-31,10:00,103.680,104.080,103.190,103.500,23502468.0,226500
2025-3-31,10:05,103.490,104.820,103.490,104.430,29289514.0,281000
2025-3-31,10:10,104.400,104.420,103.650,103.750,13407864.0,128900
2025-3-31,10:15,103.790,104.160,103.500,103.740,12770265.0,123100
2025-3-31,10:20,103.690,103.840,103.210,103.510,18891648.0,182500
2025-3-31,10:25,103.590,103.640,103.070,103.160,20808936.0,201500
2025-3-31,10:30,103.170,103.300,102.720,102.720,11262535.0,109400
2025-3-31,10:35,102.710,102.800,102.530,102.530,14399015.0,140200
2025-3-31,10:40,102.510,102.730,102.340,102.610,9859455.0,96200
2025-3-31,10:45,102.610,102.620,102.430,102.530,9215271.0,89900
2025-3-31,10:50,102.480,102.530,102.060,102.060,6529553.0,63800
2025-3-31,10:55,102.000,102.310,101.780,101.780,11330451.0,111100
2025-3-31,11:00,101.770,102.200,101.750,101.970,7642694.0,74900
2025-3-31,11:05,102.130,102.370,101.970,102.350,7518736.0,73600
2025-3-31,11:10,102.350,102.540,102.100,102.470,8018805.0,78400
2025-3-31,11:15,102.430,102.500,102.070,102.280,7322748.0,71600
2025-3-31,11:20,102.280,102.370,101.640,101.760,24024662.0,235400
2025-3-31,11:25,101.770,101.840,101.000,101.350,19240910.0,189700
2025-3-31,11:30,101.370,101.670,101.250,101.300,13001439.0,128200
2025-3-31,13:05,101.300,103.410,101.300,103.410,29390932.0,286800
2025-3-31,13:10,103.410,104.780,103.120,104.720,56422700.0,542100
2025-3-31,13:15,104.720,104.740,103.810,104.200,27132822.0,260100
2025-3-31,13:20,104.210,104.210,103.320,103.620,11993203.0,115600
