日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,39.060,39.290,38.940,38.990,22987128.0,588600
2025-6-30,09:40,38.960,39.270,38.850,39.260,18456738.0,472600
2025-6-30,09:45,39.260,39.400,39.210,39.280,16686672.0,424600
2025-6-30,09:50,39.260,39.440,39.260,39.330,16946824.0,430900
2025-6-30,09:55,39.330,39.400,39.230,39.260,12060785.0,307000
2025-6-30,10:00,39.260,39.350,39.150,39.320,13453896.0,342900
2025-6-30,10:05,39.320,39.420,39.250,39.310,19597600.0,498000
2025-6-30,10:10,39.310,39.400,39.270,39.300,9150328.0,232500
2025-6-30,10:15,39.290,39.410,39.280,39.400,11007210.0,279800
2025-6-30,10:20,39.400,39.400,39.350,39.360,5310664.5,134900
2025-6-30,10:25,39.360,39.390,39.310,39.340,5447656.0,138400
2025-6-30,10:30,39.340,39.420,39.340,39.410,7603397.0,193000
2025-6-30,10:35,39.420,39.440,39.370,39.370,6492530.0,164700
2025-6-30,10:40,39.370,39.430,39.350,39.420,5214349.5,132400
2025-6-30,10:45,39.420,39.740,39.380,39.580,19049428.0,481700
2025-6-30,10:50,39.580,39.640,39.480,39.490,7586848.0,191700
2025-6-30,10:55,39.500,39.510,39.420,39.440,3180300.0,80600
2025-6-30,11:00,39.430,39.460,39.410,39.450,3272962.25,83000
2025-6-30,11:05,39.450,39.460,39.390,39.390,3852391.75,97700
2025-6-30,11:10,39.390,39.400,39.330,39.360,3934728.75,99900
2025-6-30,11:15,39.340,39.360,39.320,39.320,2793852.25,71000
2025-6-30,11:20,39.330,39.330,39.270,39.310,6716393.5,170900
2025-6-30,11:25,39.320,39.350,39.250,39.250,6138793.0,156300
2025-6-30,11:30,39.260,39.280,39.180,39.230,5541675.0,141200
2025-6-30,13:05,39.230,39.300,39.220,39.230,3371880.5,85900
2025-6-30,13:10,39.230,39.390,39.230,39.390,3651484.0,93000
2025-6-30,13:15,39.380,39.400,39.320,39.390,2441019.0,62000
2025-6-30,13:20,39.380,39.380,39.330,39.380,2546078.0,64700
2025-6-30,13:25,39.380,39.380,39.320,39.340,3379927.0,85900
2025-6-30,13:30,39.340,39.360,39.320,39.360,2272815.75,57700
2025-6-30,13:35,39.360,39.360,39.310,39.310,4815879.5,122500
2025-6-30,13:40,39.310,39.330,39.300,39.310,1405757.875,35700
2025-6-30,13:45,39.300,39.300,39.180,39.260,8711686.0,221900
2025-6-30,13:50,39.260,39.260,39.200,39.200,3278742.0,83600
2025-6-30,13:55,39.190,39.200,39.090,39.100,10096101.0,258000
2025-6-30,14:00,39.100,39.170,39.100,39.160,4165870.5,106400
2025-6-30,14:05,39.140,39.160,39.130,39.160,2386020.5,61000
2025-6-30,14:10,39.160,39.200,39.150,39.190,2663150.0,68000
2025-6-30,14:15,39.200,39.200,39.170,39.190,3452850.0,88100
2025-6-30,14:20,39.180,39.220,39.170,39.190,2302161.75,58700
2025-6-30,14:25,39.190,39.190,39.140,39.160,4751862.0,121300
2025-6-30,14:30,39.160,39.210,39.160,39.200,4293902.0,109600
2025-6-30,14:35,39.200,39.280,39.200,39.250,4768954.0,121600
2025-6-30,14:40,39.270,39.270,39.210,39.260,3668375.25,93500
2025-6-30,14:45,39.250,39.260,39.220,39.240,4561177.0,116200
2025-6-30,14:50,39.230,39.250,39.230,39.240,5352101.5,136400
2025-6-30,14:55,39.240,39.240,39.190,39.220,10179734.0,259600
2025-6-30,15:00,39.210,39.220,39.200,39.220,10306834.0,262800
2025-7-1,09:35,39.270,39.270,38.550,38.760,27181464.0,701900
2025-7-1,09:40,38.800,38.820,38.620,38.620,17836282.0,460500
2025-7-1,09:45,38.620,38.630,38.500,38.590,24010322.0,622600
2025-7-1,09:50,38.600,39.040,38.600,38.880,13309891.0,343000
2025-7-1,09:55,38.870,38.880,38.730,38.780,10485487.0,270300
2025-7-1,10:00,38.770,38.780,38.600,38.600,10091421.0,260900
2025-7-1,10:05,38.640,38.700,38.580,38.670,6532645.0,169000
2025-7-1,10:10,38.680,38.740,38.630,38.700,7726578.0,199800
2025-7-1,10:15,38.690,38.740,38.660,38.670,4072910.5,105300
2025-7-1,10:20,38.670,38.690,38.610,38.650,4671972.0,120900
2025-7-1,10:25,38.650,38.730,38.630,38.700,7131089.5,184500
2025-7-1,10:30,38.660,38.700,38.630,38.630,3782609.5,97800
2025-7-1,10:35,38.630,38.650,38.580,38.600,5820266.0,150800
2025-7-1,10:40,38.610,38.610,38.510,38.510,9304670.0,241200
2025-7-1,10:45,38.510,38.530,38.500,38.510,7677594.0,199400
2025-7-1,10:50,38.500,38.540,38.500,38.500,6140433.0,159400
2025-7-1,10:55,38.510,38.510,38.400,38.430,11848434.0,308100
2025-7-1,11:00,38.430,38.440,38.380,38.410,5476279.5,142600
2025-7-1,11:05,38.450,38.480,38.410,38.480,2592717.0,67400
2025-7-1,11:10,38.470,38.510,38.400,38.410,2591142.75,67400
2025-7-1,11:15,38.400,38.420,38.280,38.290,6784541.0,176800
2025-7-1,11:20,38.280,38.290,38.200,38.260,8619119.0,225400
2025-7-1,11:25,38.260,38.440,38.260,38.410,3605596.75,94000
2025-7-1,11:30,38.400,38.430,38.370,38.390,4434902.0,115500
2025-7-1,13:05,38.380,38.450,38.350,38.360,3531064.0,92000
2025-7-1,13:10,38.350,38.390,38.340,38.380,3117838.25,81300
2025-7-1,13:15,38.380,38.490,38.380,38.400,3207744.5,83500
2025-7-1,13:20,38.400,38.400,38.360,38.370,3205891.75,83500
2025-7-1,13:25,38.370,38.390,38.330,38.360,3121048.0,81400
2025-7-1,13:30,38.350,38.510,38.340,38.510,5837016.0,151800
2025-7-1,13:35,38.500,38.510,38.460,38.470,3690710.0,95900
2025-7-1,13:40,38.470,38.520,38.400,38.450,3808929.5,99000
2025-7-1,13:45,38.430,38.430,38.350,38.400,4027085.75,104900
2025-7-1,13:50,38.400,38.460,38.400,38.450,1033609.6875,26900
2025-7-1,13:55,38.450,38.460,38.410,38.440,4675525.5,121700
2025-7-1,14:00,38.430,38.480,38.400,38.420,4020757.0,104600
2025-7-1,14:05,38.420,38.460,38.410,38.450,3014657.0,78400
2025-7-1,14:10,38.450,38.460,38.430,38.440,2651368.5,68900
2025-7-1,14:15,38.440,38.460,38.430,38.450,2217396.5,57700
2025-7-1,14:20,38.450,38.450,38.430,38.430,1779498.625,46300
2025-7-1,14:25,38.440,38.450,38.390,38.420,5954498.0,155000
2025-7-1,14:30,38.430,38.490,38.400,38.480,3623922.25,94300
2025-7-1,14:35,38.460,38.490,38.430,38.440,1634966.875,42500
2025-7-1,14:40,38.440,38.450,38.410,38.430,3076275.75,80100
2025-7-1,14:45,38.430,38.470,38.420,38.460,3235174.75,84100
2025-7-1,14:50,38.440,38.500,38.440,38.470,4562856.0,118600
2025-7-1,14:55,38.470,38.520,38.470,38.510,7795803.0,202500
2025-7-1,15:00,38.510,38.520,38.460,38.470,8579952.0,222900
2025-7-2,09:35,38.210,38.360,37.980,38.110,19091456.0,501000
2025-7-2,09:40,38.100,38.210,37.990,38.010,11081759.0,291300
2025-7-2,09:45,38.010,38.080,37.910,38.080,8577352.0,225800
2025-7-2,09:50,38.080,38.080,37.760,37.850,14851028.0,392300
2025-7-2,09:55,37.840,38.000,37.820,37.940,4889798.0,128900
2025-7-2,10:00,37.930,38.060,37.880,37.950,6893207.0,181700
2025-7-2,10:05,37.950,38.050,37.950,38.040,3975842.5,104500
2025-7-2,10:10,38.040,38.040,37.940,37.960,3233567.5,85200
2025-7-2,10:15,37.970,37.970,37.910,37.940,3455635.5,91100
2025-7-2,10:20,37.910,37.950,37.900,37.930,2113897.5,55700
2025-7-2,10:25,37.930,38.010,37.930,38.010,4013083.0,105700
2025-7-2,10:30,38.010,38.010,37.950,37.970,3924519.5,103400
2025-7-2,10:35,37.980,37.990,37.820,37.820,4759334.5,125600
2025-7-2,10:40,37.820,37.830,37.770,37.830,6444088.5,170400
2025-7-2,10:45,37.830,37.830,37.780,37.810,3558057.0,94200
2025-7-2,10:50,37.810,37.810,37.550,37.720,13824728.0,366700
2025-7-2,10:55,37.710,37.800,37.700,37.780,4774244.0,126400
2025-7-2,11:00,37.780,37.820,37.760,37.770,2225264.0,58900
2025-7-2,11:05,37.770,37.800,37.730,37.790,4046815.0,107200
2025-7-2,11:10,37.790,37.910,37.790,37.820,2105585.25,55700
2025-7-2,11:15,37.820,37.840,37.720,37.790,2897498.5,76700
2025-7-2,11:20,37.760,37.820,37.740,37.810,852677.1875,22600
2025-7-2,11:25,37.810,37.830,37.800,37.810,1529548.625,40400
2025-7-2,11:30,37.810,37.890,37.810,37.860,2542199.5,67200
2025-7-2,13:05,37.830,38.170,37.830,37.920,15759842.0,414500
2025-7-2,13:10,37.910,38.050,37.910,38.040,2810661.0,74000
2025-7-2,13:15,38.030,38.030,37.930,37.980,1756902.75,46300
2025-7-2,13:20,37.980,37.990,37.880,37.880,1824819.75,48100
2025-7-2,13:25,37.880,37.900,37.820,37.830,1666187.0,44000
2025-7-2,13:30,37.830,37.870,37.800,37.800,3417194.25,90300
2025-7-2,13:35,37.800,37.840,37.750,37.800,7658043.5,202700
2025-7-2,13:40,37.780,37.800,37.770,37.790,1462793.0,38700
2025-7-2,13:45,37.800,37.800,37.740,37.750,3155519.75,83500
2025-7-2,13:50,37.750,37.780,37.690,37.690,4751753.0,126000
2025-7-2,13:55,37.690,37.690,37.570,37.640,10184792.0,270800
2025-7-2,14:00,37.640,37.650,37.610,37.620,3645882.0,96900
2025-7-2,14:05,37.620,37.680,37.600,37.670,2216129.0,58900
2025-7-2,14:10,37.670,37.700,37.580,37.580,4660679.0,123900
2025-7-2,14:15,37.580,37.600,37.560,37.570,3913393.5,104100
2025-7-2,14:20,37.580,37.600,37.520,37.550,5761764.5,153500
2025-7-2,14:25,37.570,37.780,37.560,37.760,6252520.5,165800
2025-7-2,14:30,37.770,37.790,37.730,37.730,2394195.0,63400
2025-7-2,14:35,37.740,37.900,37.730,37.830,5260842.0,139200
2025-7-2,14:40,37.830,37.890,37.810,37.860,2664002.5,70400
2025-7-2,14:45,37.850,37.870,37.850,37.860,1463926.25,38600
2025-7-2,14:50,37.860,37.860,37.780,37.780,3185994.25,84300
2025-7-2,14:55,37.790,37.820,37.770,37.800,5865564.0,155200
2025-7-2,15:00,37.810,37.840,37.790,37.820,5969663.5,157800
2025-7-3,09:35,37.730,38.070,37.650,38.060,11045648.0,291500
2025-7-3,09:40,38.040,38.070,37.900,37.950,6890028.0,181400
2025-7-3,09:45,37.950,37.960,37.860,37.870,4619727.0,121900
2025-7-3,09:50,37.870,37.890,37.740,37.790,4231826.5,111900
2025-7-3,09:55,37.790,37.790,37.580,37.610,14575896.0,387400
2025-7-3,10:00,37.630,37.650,37.560,37.640,9521141.0,253200
2025-7-3,10:05,37.660,37.750,37.610,37.730,5315051.0,141100
2025-7-3,10:10,37.740,37.740,37.650,37.650,5694694.0,151100
2025-7-3,10:15,37.660,37.660,37.530,37.570,8520441.0,226700
2025-7-3,10:20,37.570,37.570,37.450,37.470,15761341.0,420300
2025-7-3,10:25,37.460,37.470,37.210,37.220,17961956.0,481100
2025-7-3,10:30,37.250,37.450,37.200,37.430,10342263.0,277200
