日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-6-30,09:35,64.660,66.060,64.350,66.010,320558208.0,4909300
2025-6-30,09:40,66.050,66.960,65.700,66.910,241055376.0,3636000
2025-6-30,09:45,66.960,67.980,66.800,67.230,217513984.0,3223300
2025-6-30,09:50,67.230,67.500,66.630,67.160,101528872.0,1512500
2025-6-30,09:55,67.160,67.160,66.630,66.980,60154288.0,898900
2025-6-30,10:00,66.970,67.460,66.760,67.140,55273256.0,824600
2025-6-30,10:05,67.110,67.150,66.030,66.280,76068768.0,1145300
2025-6-30,10:10,66.280,66.560,66.110,66.430,35303440.0,532300
2025-6-30,10:15,66.430,66.430,65.700,66.000,47110440.0,713800
2025-6-30,10:20,66.000,66.110,65.830,65.830,34284880.0,519500
2025-6-30,10:25,65.830,65.900,65.530,65.840,38202216.0,581500
2025-6-30,10:30,65.840,65.840,65.010,65.030,54749008.0,837900
2025-6-30,10:35,65.080,65.470,64.800,64.820,54465928.0,836900
2025-6-30,10:40,64.800,65.020,64.330,64.410,60372128.0,934500
2025-6-30,10:45,64.410,65.000,64.310,65.000,34198984.0,529700
2025-6-30,10:50,65.080,65.340,64.970,65.220,28195346.0,432600
2025-6-30,10:55,65.220,65.500,64.750,64.870,30055620.0,461200
2025-6-30,11:00,64.900,65.230,64.880,65.230,23395428.0,360000
2025-6-30,11:05,65.040,65.180,64.900,64.990,16165679.0,248600
2025-6-30,11:10,64.970,65.090,64.910,65.090,11410304.0,175600
2025-6-30,11:15,65.090,65.200,64.950,65.190,14440731.0,221900
2025-6-30,11:20,65.190,65.480,65.150,65.310,15351139.0,235000
2025-6-30,11:25,65.310,65.590,65.310,65.590,14434442.0,220600
2025-6-30,11:30,65.590,65.720,65.490,65.610,12428987.0,189500
2025-6-30,13:05,65.810,65.810,65.370,65.590,30529274.0,465300
2025-6-30,13:10,65.630,65.800,65.500,65.550,13364361.0,203600
2025-6-30,13:15,65.560,65.560,65.010,65.020,14211209.0,217800
2025-6-30,13:20,64.980,64.980,64.640,64.860,28286676.0,436700
2025-6-30,13:25,64.840,64.850,64.550,64.670,22770184.0,351900
2025-6-30,13:30,64.680,64.850,64.650,64.700,17716820.0,273800
2025-6-30,13:35,64.700,65.020,64.530,64.970,22729036.0,351100
2025-6-30,13:40,65.020,65.210,64.600,64.600,16626990.0,256100
2025-6-30,13:45,64.580,64.580,63.800,63.810,54940712.0,856500
2025-6-30,13:50,63.850,63.890,63.490,63.640,54638856.0,857400
2025-6-30,13:55,63.650,64.270,63.500,64.200,41642260.0,652900
2025-6-30,14:00,64.190,64.380,64.020,64.190,18382940.0,286500
2025-6-30,14:05,64.290,64.880,64.290,64.700,30608904.0,474300
2025-6-30,14:10,64.680,64.800,64.500,64.640,13693153.0,211900
2025-6-30,14:15,64.630,64.750,64.530,64.540,14909638.0,230700
2025-6-30,14:20,64.620,65.000,64.580,64.940,20588958.0,317900
2025-6-30,14:25,65.000,65.500,64.860,65.450,32039530.0,491200
2025-6-30,14:30,65.500,66.460,65.330,66.310,63119176.0,955400
2025-6-30,14:35,66.300,66.910,66.300,66.670,61900072.0,928600
2025-6-30,14:40,66.670,67.180,66.530,67.000,60100012.0,898200
2025-6-30,14:45,66.970,67.540,66.970,67.140,73962392.0,1097800
