日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2024-12-18,09:35,62.100,63.150,62.100,62.850,16641416.0,2650
2024-12-18,09:40,62.850,63.200,62.800,63.100,13931410.0,2210
2024-12-18,09:45,63.100,64.000,62.850,63.900,28530290.0,4482
2024-12-18,09:50,63.850,63.900,63.200,63.500,10554452.0,1660
2024-12-18,09:55,63.600,64.200,63.450,64.100,18647728.0,2916
2024-12-18,10:00,64.000,64.050,63.750,63.900,5305456.0,830
2024-12-18,10:05,63.900,64.000,63.350,63.600,10902248.0,1710
2024-12-18,10:10,63.650,63.950,63.600,63.700,6250600.0,980
2024-12-18,10:15,63.700,63.750,63.700,63.750,2038448.0,320
2024-12-18,10:20,63.800,63.800,63.600,63.600,1528456.0,240
2024-12-18,10:25,63.600,63.600,63.400,63.450,5458544.0,860
2024-12-18,10:30,63.500,63.850,63.450,63.800,4769904.0,750
2024-12-18,10:35,63.800,63.800,63.300,63.300,6288496.0,990
2024-12-18,10:40,63.300,63.350,63.300,63.350,1647000.0,260
2024-12-18,10:45,63.350,63.500,63.300,63.500,1205256.0,190
2024-12-18,10:50,63.450,63.450,63.200,63.300,5577800.0,880
2024-12-18,10:55,63.200,63.200,63.000,63.000,5927104.0,940
2024-12-18,11:00,63.000,63.100,62.800,62.850,7423840.0,1180
2024-12-18,11:05,62.800,62.900,62.800,62.850,1508448.0,240
2024-12-18,11:10,62.850,62.900,62.850,62.900,1571664.0,250
2024-12-18,11:15,62.850,63.000,62.850,62.900,3460448.0,550
2024-12-18,11:20,62.900,63.000,62.900,63.000,1070288.0,170
2024-12-18,11:25,63.000,63.200,63.000,63.200,2963952.0,470
2024-12-18,11:30,63.200,63.200,63.200,63.200,252800.0,40
2024-12-18,11:35,63.100,63.150,63.100,63.100,1451376.0,230
2024-12-18,11:40,63.150,63.150,63.150,63.150,568432.0,90
2024-12-18,11:45,63.150,63.150,63.150,63.150,1199840.0,190
2024-12-18,11:50,63.100,63.150,63.100,63.100,441856.0,70
2024-12-18,11:55,63.200,63.200,63.150,63.150,631600.0,100
2024-12-18,12:00,63.100,63.100,63.100,63.100,567920.0,90
2024-12-18,13:05,63.100,63.100,63.050,63.050,2901152.0,460
2024-12-18,13:10,63.050,63.050,62.800,62.800,4781504.0,760
2024-12-18,13:15,62.800,62.800,62.500,62.550,6699328.0,1070
2024-12-18,13:20,62.650,62.700,62.600,62.600,5261648.0,840
2024-12-18,13:25,62.700,63.000,62.600,62.900,4267248.0,680
2024-12-18,13:30,62.950,63.000,62.900,62.950,2454400.0,390
2024-12-18,13:35,63.000,63.200,62.900,63.200,10990656.0,1740
2024-12-18,13:40,63.300,63.300,63.050,63.050,4171648.0,660
2024-12-18,13:45,63.050,63.050,63.000,63.000,1260400.0,200
2024-12-18,13:50,63.000,63.050,63.000,63.050,567248.0,90
2024-12-18,13:55,63.050,63.050,63.000,63.000,945200.0,150
2024-12-18,14:00,63.000,63.000,62.950,63.000,3022304.0,480
2024-12-18,14:05,62.950,63.250,62.950,63.250,5240496.0,830
2024-12-18,14:10,63.200,63.200,63.050,63.150,4292208.0,680
2024-12-18,14:15,63.200,63.200,63.100,63.200,6063792.0,960
2024-12-18,14:20,63.250,63.300,63.250,63.300,2290448.0,362
2024-12-18,14:25,63.300,63.350,63.250,63.300,3493872.0,552
2024-12-18,14:30,63.300,63.500,63.300,63.400,8178000.0,1290
2024-12-18,14:35,63.400,63.400,63.200,63.200,3671792.0,580
2024-12-18,14:40,63.200,63.200,63.100,63.100,821408.0,130
2024-12-18,14:45,63.100,63.650,63.100,63.400,23675536.0,3730
2024-12-18,14:50,63.350,63.400,63.300,63.350,1520512.0,240
2024-12-18,14:55,63.300,63.450,63.300,63.400,5259232.0,830
2024-12-18,15:00,63.450,63.550,63.400,63.550,3429824.0,540
2024-12-18,15:05,63.550,63.550,63.400,63.450,1840736.0,290
2024-12-18,15:10,63.400,63.550,63.400,63.550,4886848.0,770
2024-12-18,15:15,63.550,63.800,63.550,63.700,10189792.0,1600
2024-12-18,15:20,63.750,63.750,63.700,63.700,1274624.0,200
2024-12-18,15:25,63.700,63.800,63.700,63.800,1912576.0,300
2024-12-18,15:30,63.800,63.800,63.700,63.700,2805664.0,440
2024-12-18,15:35,63.700,63.750,63.700,63.700,1656288.0,260
2024-12-18,15:40,63.650,63.700,63.650,63.700,1973760.0,310
2024-12-18,15:45,63.750,63.800,63.600,63.600,5288416.0,830
