日期,分钟,开盘,最高,最低,收盘,成交额,成交量
2025-3-31,09:35,4.080,4.080,4.010,4.040,8354780.0,2063900
2025-3-31,09:40,4.040,4.060,4.020,4.050,7161112.0,1772000
2025-3-31,09:45,4.050,4.050,4.020,4.030,2778934.0,688800
2025-3-31,09:50,4.030,4.030,4.000,4.030,11396102.0,2838200
2025-3-31,09:55,4.020,4.040,4.020,4.020,3960200.0,983000
2025-3-31,10:00,4.030,4.060,4.020,4.050,6311675.0,1559000
2025-3-31,10:05,4.050,4.080,4.050,4.050,3473257.0,855000
2025-3-31,10:10,4.050,4.070,4.050,4.070,2542334.0,625800
2025-3-31,10:15,4.060,4.070,4.060,4.070,2034160.0,500200
2025-3-31,10:20,4.060,4.070,4.020,4.030,6668577.0,1650700
2025-3-31,10:25,4.030,4.030,4.010,4.020,3061429.0,761200
2025-3-31,10:30,4.010,4.020,4.000,4.000,14619713.0,3648700
2025-3-31,10:35,4.010,4.030,4.000,4.030,2612439.0,650200
2025-3-31,10:40,4.030,4.030,4.010,4.010,940443.0,233600
2025-3-31,10:45,4.020,4.030,4.010,4.020,2250846.0,560200
2025-3-31,10:50,4.020,4.030,4.000,4.010,1893026.0,471700
2025-3-31,10:55,4.000,4.010,3.980,3.990,10808353.0,2702700
2025-3-31,11:00,3.990,4.000,3.980,3.990,4781759.0,1200600
2025-3-31,11:05,3.990,4.000,3.980,3.990,4483690.0,1125100
2025-3-31,11:10,4.000,4.000,3.980,3.990,2391584.0,599300
2025-3-31,11:15,3.990,4.000,3.980,4.000,2575740.0,644600
2025-3-31,11:20,4.000,4.020,3.990,4.000,2732080.0,682700
2025-3-31,11:25,4.010,4.010,3.980,3.980,6659901.0,1668800
2025-3-31,11:30,3.980,4.000,3.980,3.980,4488488.0,1125500
2025-3-31,13:05,3.980,4.010,3.970,4.000,8586531.0,2154600
2025-3-31,13:10,4.010,4.010,3.990,4.010,1446953.0,361500
2025-3-31,13:15,4.020,4.030,4.010,4.030,3921340.0,975800
